cidade;estado;pais;temperatura;sensacao_termica;condicao
Yinchuan;Ningxia;China;14.5;15.0;Sunny
Yantai;Shandong;China;14.5;13.2;Patchy rain nearby
Baicheng;Henan;China;20.6;20.6;Sunny
Xinxiang;Henan;China;19.0;19.0;Partly Cloudy
Xintai;Shandong;China;15.4;15.4;Patchy rain nearby
Haining;Zhejiang;China;25.3;28.8;Partly cloudy
Xiangtan;Hunan;China;20.9;20.9;Patchy rain nearby
Weifang;Shandong;China;13.7;12.3;Patchy rain nearby
Pingxiang;Gansu;China;22.2;24.7;Patchy rain nearby
Tianjin;Tianjin;China;15.4;15.4;Patchy rain nearby
Fuyu;Anhui;China;20.5;20.5;Sunny
Shenzhen;Guangdong;China;30.3;35.7;Partly Cloudy
Shaoguan;Guangdong;China;25.9;29.4;Light rain shower
Shanwei;Guangdong;China;30.3;35.7;Sunny
Sanya;Hainan;China;28.6;32.5;Sunny
Qinhuangdao;Hebei;China;19.9;20.0;Sunny
Pingxiang;Hebei;China;22.2;24.7;Patchy rain nearby
Pingxiang;Jiangxi;China;22.2;24.7;Patchy rain nearby
Nanyang;Henan;China;21.8;21.8;Partly Cloudy
Nantou;Guangdong;China;31.3;35.2;Partly cloudy
Liaocheng;Shandong;China;19.5;19.5;Sunny
Leshan;Sichuan;China;27.2;27.8;Partly Cloudy
Lengshuijiang;Hunan;China;20.3;20.3;Light rain
Laohekou;Hubei;China;18.8;18.8;Cloudy
Laiwu;Shandong;China;16.8;16.8;Sunny
Jinzhou;Liaoning;China;18.3;18.3;Partly Cloudy
Jinzhou;Hebei;China;18.3;18.3;Partly Cloudy
Jining;Shandong;China;20.3;20.3;Sunny
Jinchang;Gansu;China;13.5;13.8;Sunny
Fuzhou;Jiangxi;China;27.4;33.5;Mist
Fuzhou;Fujian;China;27.4;33.5;Mist
Fengshan;Hubei;China;32.3;38.8;Partly cloudy
Fengshan;Fujian;China;32.3;38.8;Partly cloudy
Fengshan;Guangxi;China;32.3;38.8;Partly cloudy
Ezhou;Hubei;China;17.6;17.6;Partly Cloudy
Enshi;Hubei;China;19.8;19.8;Partly Cloudy
Dongying;Shandong;China;16.4;16.4;Partly Cloudy
Jinchang;Shanxi;China;13.5;13.8;Sunny
Datong;Anhui;China;7.0;3.0;Light drizzle
Changzhou;Jiangsu;China;20.3;20.3;Light drizzle
Binzhou;Shandong;China;17.3;17.3;Partly Cloudy
Baiyin;Gansu;China;12.7;12.3;Sunny
Zhoushan;Zhejiang;China;15.8;15.8;Patchy rain nearby
Yantai;Chongqing;China;14.5;13.2;Patchy rain nearby
Yingkou;Liaoning;China;20.7;20.7;Partly Cloudy
Tongliao;Inner Mongolia;China;20.7;20.7;Sunny
Tieli;Heilongjiang;China;20.3;20.3;Sunny
Suihua;Heilongjiang;China;19.5;19.5;Sunny
Fuyu;Jilin;China;20.5;20.5;Sunny
Jining;Inner Mongolia;China;20.3;20.3;Sunny
Hohhot;Inner Mongolia;China;12.0;9.5;Partly cloudy
Fuyu;Heilongjiang;China;20.5;20.5;Sunny
Datong;Heilongjiang;China;7.0;3.0;Light drizzle
Datong;Shanxi;China;7.0;3.0;Light drizzle
Baicheng;Jilin;China;20.6;20.6;Sunny
Nanyang;Gansu;China;21.8;21.8;Partly Cloudy
Xinxiang;Chongqing;China;19.0;19.0;Partly Cloudy
Meixian;Guangdong;China;29.1;32.9;Partly Cloudy
Datong;Chongqing;China;7.0;3.0;Light drizzle
Rizhao;Shandong;China;17.3;17.3;Partly Cloudy
Changzhou;Guangxi;China;20.3;20.3;Light drizzle
Baicheng;Shandong;China;20.6;20.6;Sunny
Valencia;Córdoba;Colombia;21.3;21.3;Clear
Sucre;Sucre Department;Colombia;13.4;12.7;Patchy rain nearby
Sucre;Santander Department;Colombia;13.4;12.7;Patchy rain nearby
Sucre;Cauca Department;Colombia;13.4;12.7;Patchy rain nearby
Sogamoso;Boyacá;Colombia;7.2;6.7;Partly Cloudy
Sincelejo;Sucre Department;Colombia;25.9;29.4;Partly Cloudy
Santa Rosa;Bolívar;Colombia;33.0;40.5;Sunny
Santa Rosa;Cauca Department;Colombia;33.0;40.5;Sunny
San Lorenzo;Nariño;Colombia;20.3;20.3;Overcast
Pereira;Risaralda Department;Colombia;16.1;16.1;Partly cloudy
La Plata;Huila Department;Colombia;9.3;7.1;Clear
La Paz;Cesar Department;Colombia;5.0;2.2;Clear
La Paz;Santander Department;Colombia;5.0;2.2;Clear
Florencia;Cauca Department;Colombia;19.1;19.1;Mist
Florencia;Caquetá;Colombia;19.1;19.1;Mist
Buenaventura;Valle del Cauca Department;Colombia;25.1;28.1;Patchy rain nearby
Florencia;Ciego de Ávila Province;Cuba;19.1;19.1;Mist
Santa Rosa;;Curaçao;33.0;40.5;Sunny
Olomouc;Olomoucký;Czechia;6.3;4.7;Cloudy
Witten;North Rhine-Westphalia;Germany;4.1;1.6;Patchy rain nearby
Siegen;North Rhine-Westphalia;Germany;4.2;3.0;Partly cloudy
Mannheim;Baden-Wurttemberg;Germany;6.4;5.5;Clear
Erlangen;Bavaria;Germany;3.2;2.7;Partly Cloudy
Duisburg;North Rhine-Westphalia;Germany;7.0;4.8;Patchy rain nearby
Belm;Lower Saxony;Germany;18.2;18.2;Sunny
Santiago de los Caballeros;Santiago Province;Dominican Republic;28.3;34.8;Partly cloudy
La Romana;La Romana;Dominican Republic;26.3;29.1;Clear
Skikda;Skikda;Algeria;15.5;15.5;Clear
Valencia;Los Ríos;Ecuador;21.3;21.3;Clear
Sucre;Manabí;Ecuador;13.4;12.7;Patchy rain nearby
Sucre;Tungurahua Province;Ecuador;13.4;12.7;Patchy rain nearby
Santa Rosa;El Oro;Ecuador;33.0;40.5;Sunny
Santa Rosa;Tungurahua Province;Ecuador;33.0;40.5;Sunny
San Lorenzo;Bolívar;Ecuador;20.3;20.3;Overcast
Salinas;Santa Elena;Ecuador;17.8;17.8;Sunny
Portoviejo;Manabí;Ecuador;24.2;26.6;Partly cloudy
Loja;Loja;Ecuador;14.5;14.3;Patchy rain nearby
La Paz;Zamora Chinchipe;Ecuador;5.0;2.2;Clear
La Paz;Carchi;Ecuador;5.0;2.2;Clear
Salinas;Imbabura;Ecuador;17.8;17.8;Sunny
Tartu;Tartu;Estonia;20.2;20.2;Clear
Qalyub;Qalyubia;Egypt;21.1;21.1;Clear
Valencia;Valencia;Spain;21.3;21.3;Clear
Salinas;Valencia;Spain;17.8;17.8;Sunny
Loja;Andalusia;Spain;14.5;14.3;Patchy rain nearby
La Romana;Valencia;Spain;26.3;29.1;Clear
Santiago de Compostela;Galicia;Spain;10.2;8.3;Clear
Salamanca;Castille and León;Spain;9.3;7.2;Clear
Laredo;Cantabria;Spain;34.4;39.4;Thundery outbreaks in nearby
Guadalajara;Castille-La Mancha;Spain;24.4;23.6;Patchy light rain
Buenaventura;Castille-La Mancha;Spain;25.1;28.1;Patchy rain nearby
Barcelona;Catalonia;Spain;16.1;16.1;Patchy rain nearby
Avellaneda;Basque Country;Spain;13.7;12.4;Clear
Avellaneda;Castille and León;Spain;13.7;12.4;Clear
Salamanca;Madrid;Spain;9.3;7.2;Clear
La Paz;Madrid;Spain;5.0;2.2;Clear
Oulu;North Ostrobothnia;Finland;5.0;0.8;Moderate rain
Toulouse;Occitanie;France;6.4;3.9;Partly cloudy
Toulon;Provence-Alpes-Côte d'Azur;France;14.3;13.0;Clear
Saint-Denis;Île-de-France;France;19.3;19.3;Clear
Le Mans;Pays de la Loire;France;9.3;8.1;Clear
Brest;Brittany;France;10.6;8.5;Light drizzle
York;England;United Kingdom;2.3;-0.2;Partly Cloudy
Stockport;England;United Kingdom;6.1;5.9;Clear
Southport;England;United Kingdom;8.2;7.0;Clear
South Hill;England;United Kingdom;18.0;18.0;Overcast
Southend-on-Sea;England;United Kingdom;3.1;0.3;Clear
Southampton;England;United Kingdom;9.4;9.4;Clear
Manchester;England;United Kingdom;6.1;5.9;Clear
London;England;United Kingdom;5.1;4.8;Clear
Lincoln;England;United Kingdom;17.8;17.8;Sunny
Lancaster;England;United Kingdom;30.1;27.9;Sunny
Kimberley;England;United Kingdom;4.1;0.7;Clear
Hamilton;Scotland;United Kingdom;10.5;8.9;Fog
Halifax;England;United Kingdom;6.1;2.0;Overcast
Dundee;Scotland;United Kingdom;4.2;3.6;Clear
Compton;England;United Kingdom;21.1;21.1;Partly Cloudy
Bradford;England;United Kingdom;6.1;5.9;Clear
Newcastle;Northern Ireland;United Kingdom;5.6;5.1;Clear
Cayenne;Guyane;French Guiana;25.1;28.6;Moderate rain
Nuuk;Sermersooq;Greenland;0.0;-6.0;Clear
Banjul;Banjul;Gambia;25.3;27.0;Partly cloudy
San Lorenzo;San Marcos;Guatemala;20.3;20.3;Overcast
San Lorenzo;Suchitepeque;Guatemala;20.3;20.3;Overcast
San Bernardino;Suchitepeque;Guatemala;30.4;30.7;Sunny
San Lorenzo;Valle Department;Honduras;20.3;20.3;Overcast
La Paz;La Paz Department;Honduras;5.0;2.2;Clear
Bag;Pest County;Hungary;26.6;27.8;Sunny
Lhokseumawe;Aceh;Indonesia;26.3;28.9;Sunny
Tegal;Central Java;Indonesia;25.7;28.8;Light rain shower
Surakarta;Central Java;Indonesia;25.0;27.6;Patchy rain nearby
Purwakarta;West Java;Indonesia;24.4;26.8;Partly Cloudy
Probolinggo;East Java;Indonesia;26.1;28.9;Patchy rain nearby
Pontianak;West Kalimantan;Indonesia;25.0;28.0;Partly cloudy
Pemalang;Central Java;Indonesia;24.5;27.3;Light rain shower
Madiun;East Java;Indonesia;24.9;27.6;Patchy rain nearby
Jakarta;Jakarta;Indonesia;26.0;28.9;Patchy rain nearby
Gorontalo;Gorontalo;Indonesia;29.3;33.7;Sunny
Ciomas;Banten;Indonesia;23.5;26.0;Patchy light drizzle
Cianjur;West Java;Indonesia;22.9;25.4;Moderate rain
Newcastle;Leinster;Ireland;5.6;5.1;Clear
Bat Yam;Tel Aviv;Israel;20.3;20.3;Partly cloudy
Ashdod;Southern District;Israel;20.3;20.3;Partly cloudy
Yamuna Nagar;Haryana;India;27.6;31.3;Partly Cloudy
Vijayawada;Andhra Pradesh;India;28.3;29.6;Partly cloudy
Valparai;Tamil Nadu;India;11.2;11.0;Partly cloudy
Udaipur;Rajasthan;India;33.2;32.8;Sunny
Udaipur;Tripura;India;33.2;32.8;Sunny
Tambaram;Tamil Nadu;India;29.3;31.7;Mist
Shimoga;Karnataka;India;23.5;25.4;Partly Cloudy
Satna;Madhya Pradesh;India;31.9;33.1;Sunny
Sambhal;Uttar Pradesh;India;31.4;33.5;Sunny
Ranchi;Jharkhand;India;23.1;25.0;Light rain
Pune;Maharashtra;India;23.4;25.7;Patchy light rain
Pudukkottai;Tamil Nadu;India;29.2;31.4;Mist
Parbhani;Maharashtra;India;25.7;28.1;Overcast
Nagaon;Assam;India;27.0;31.7;Light rain shower
Mysore;Karnataka;India;21.9;21.9;Sunny
Kumbakonam;Tamil Nadu;India;30.2;32.0;Partly Cloudy
Katihar;Bihar;India;29.3;32.4;Partly Cloudy
Jodhpur;Rajasthan;India;32.1;34.1;Sunny
Jodhpur;Gujarat;India;32.1;34.1;Sunny
Jining;Arunachal Pradesh;India;20.3;20.3;Sunny
Jaipur;Rajasthan;India;33.0;33.2;Sunny
Gandhinagar;Gujarat;India;29.2;31.8;Sunny
Bijapur;Karnataka;India;24.4;26.3;Patchy rain nearby
Bhimavaram;Andhra Pradesh;India;30.8;35.6;Patchy rain nearby
Bhavnagar;Gujarat;India;31.7;35.5;Sunny
Amroha;Uttar Pradesh;India;31.2;33.0;Sunny
Adoni;Andhra Pradesh;India;25.9;27.6;Sunny
Haldia;West Bengal;India;29.5;33.0;Sunny
Chapra;Assam;India;27.9;31.6;Sunny
Chandrapur;Chhattisgarh;India;25.3;27.5;Patchy rain nearby
Chandrapur;Gujarat;India;25.3;27.5;Patchy rain nearby
Mosul;Nineveh;Iraq;14.2;14.2;Clear
Tabriz;East Azerbaijan;Iran, Islamic Republic of;16.3;16.3;Clear
Sirjan;Kerman;Iran, Islamic Republic of;23.6;22.9;Clear
Shahr-e Kord;Chaharmahal and Bakhtiari;Iran, Islamic Republic of;11.3;11.4;Clear
Kermanshah;Kermanshah Province;Iran, Islamic Republic of;13.3;13.9;Clear
San Lorenzo;Calabria;Italy;20.3;20.3;Overcast
Udine;Friuli Venezia Giulia;Italy;13.1;12.0;Light rain
San Lorenzo;Piedmont;Italy;20.3;20.3;Overcast
Livorno;Tuscany;Italy;15.2;15.2;Partly cloudy
Brindisi;Apulia;Italy;18.3;18.3;Partly cloudy
Brescia;Lombardy;Italy;12.2;12.7;Partly cloudy
Bergamo;Lombardy;Italy;12.2;12.0;Partly cloudy
Alessandria;Piedmont;Italy;10.3;10.6;Mist
Saint-Denis;Aosta Valley;Italy;19.3;19.3;Clear
San Lorenzo;Campania;Italy;20.1;20.1;Overcast
San Lorenzo;Liguria;Italy;20.1;20.1;Overcast
Ueda;Nagano;Japan;19.1;19.1;Partly cloudy
Tsuyama;Okayama;Japan;19.3;19.3;Partly cloudy
Shimonoseki;Yamaguchi;Japan;20.3;20.3;Partly cloudy
Sasebo;Nagasaki;Japan;23.2;25.1;Cloudy
Onomichi;Hiroshima;Japan;20.2;20.2;Partly cloudy
Okayama;Okayama;Japan;21.4;21.4;Sunny
Nagareyama;Chiba;Japan;20.3;20.3;Partly cloudy
Matsue;Shimane;Japan;19.1;19.1;Partly cloudy
Kurashiki;Okayama;Japan;21.4;21.4;Sunny
Kanazawa;Ishikawa;Japan;21.4;21.4;Partly cloudy
Kamakura;Kanagawa;Japan;20.8;20.8;Partly cloudy
Kakamigahara;Gifu;Japan;21.2;21.2;Partly cloudy
Iwatsuki;Saitama;Japan;19.5;19.5;Partly cloudy
Iwakuni;Yamaguchi;Japan;23.3;25.0;Partly cloudy
Isesaki;Gunma;Japan;16.9;16.9;Patchy rain nearby
Hiroshima;Hiroshima;Japan;23.3;24.8;Partly cloudy
Hino;Tokyo;Japan;19.5;19.5;Partly cloudy
Hino;Shiga;Japan;19.5;19.5;Partly cloudy
Higashiosaka;Osaka;Japan;23.0;24.4;Sunny
Fukuyama;Hiroshima;Japan;20.2;20.2;Partly cloudy
Okinawa;Okinawa;Japan;30.2;37.8;Overcast
Iwaki;Fukushima;Japan;17.1;17.1;Partly cloudy
Tama;Tokyo;Japan;29.3;31.8;Clear
Akishima;Tokyo;Japan;19.5;19.5;Partly cloudy
Nyeri;Nyeri County;Kenya;14.6;14.6;Cloudy
Kisumu;Kisumu County;Kenya;18.0;18.0;Clear
Phnom Penh;Phnom Penh;Cambodia;30.3;35.4;Partly cloudy
Battambang;Battambang;Cambodia;30.0;34.0;Sunny
Newcastle;Saint James Windwa;Saint Kitts and Nevis;5.6;5.1;Clear
Pyongyang;Pyongyang;Korea, Democratic People's Republic of;16.0;16.0;Patchy rain nearby
Naju;Jeollanam-do;Korea, Republic of;32.4;35.0;Sunny
Zhezqazghan;Ulytau Region;Kazakhstan;14.3;13.0;Sunny
Pavlodar;Pavlodar Region;Kazakhstan;20.7;20.7;Patchy rain nearby
Vaduz;Vaduz;Liechtenstein;9.2;8.3;Moderate rain
Jaffna;Northern Province;Sri Lanka;29.4;35.7;Partly Cloudy
Vilnius;Vilnius;Lithuania;12.2;11.7;Light rain
Daugavpils;Daugavpils;Latvia;11.3;10.3;Fog
Nador;Oriental;Morocco;20.2;20.2;Clear
Chisinau;Chișinău Municipality;Moldova, Republic of;10.9;9.5;Mist
Mahajanga;Boeny;Madagascar;24.3;25.7;Clear
Myingyan;Mandalay Region;Myanmar;31.0;34.8;Cloudy
Monywa;Sagaing Region;Myanmar;30.2;33.7;Overcast
Fontana;Il-Fontana;Malta;27.8;27.6;Sunny
Mwanza;Southern Region;Malawi;19.5;19.5;Partly Cloudy
Lilongwe;Central Region;Malawi;16.6;16.6;Partly Cloudy
Santa Rosa;Veracruz;Mexico;33.2;41.1;Sunny
San Lorenzo;Oaxaca;Mexico;20.1;20.1;Overcast
San Felipe del Progreso;México;Mexico;17.0;17.0;Moderate or heavy rain in area with thunder
San Bernardino;México;Mexico;30.4;30.7;Sunny
Salinas;Veracruz;Mexico;17.8;17.8;Sunny
Pachuca de Soto;Hidalgo;Mexico;18.6;18.6;Thundery outbreaks in nearby
Matamoros;Campeche;Mexico;35.4;34.1;Sunny
Huejutla de Reyes;Hidalgo;Mexico;35.4;40.9;Thundery outbreaks in nearby
Hidalgo;Coahuila;Mexico;29.9;27.7;Overcast
Hidalgo;Tamaulipas;Mexico;29.9;27.7;Overcast
Hidalgo;Chiapas;Mexico;29.9;27.7;Overcast
Cuernavaca;Morelos;Mexico;30.3;31.8;Partly cloudy
Cuautla;Morelos;Mexico;30.3;30.3;Partly cloudy
Coatzacoalcos;Veracruz;Mexico;28.5;35.1;Cloudy
Atlixco;Puebla;Mexico;15.0;15.2;Moderate rain
Allende;Veracruz;Mexico;30.5;33.4;Sunny
Santa Rosa;Oaxaca;Mexico;33.2;41.1;Sunny
Allende;Puebla;Mexico;30.5;33.4;Sunny
Santa Rosa;Puebla;Mexico;33.2;41.1;Sunny
Huixquilucan;México;Mexico;21.1;21.1;Overcast
Florencia;Zacatecas;Mexico;19.1;19.1;Mist
Hidalgo;Zacatecas;Mexico;29.9;27.7;Overcast
Matamoros;Chihuahua;Mexico;35.4;34.1;Sunny
La Paz;Jalisco;Mexico;5.3;2.5;Clear
Zapopan;Jalisco;Mexico;31.8;30.1;Partly Cloudy
Valle de Santiago;Guanajuato;Mexico;30.0;29.0;Light rain shower
Allende;Chihuahua;Mexico;30.5;33.4;Sunny
Uruapan;Michoacán;Mexico;22.5;25.0;Moderate or heavy rain shower
Santa Rosa;Nuevo León;Mexico;33.2;41.1;Sunny
Santa Rosa;Jalisco;Mexico;33.2;41.1;Sunny
San Lorenzo;Coahuila;Mexico;20.1;20.1;Overcast
San Lorenzo;Guanajuato;Mexico;20.1;20.1;Overcast
San Lorenzo;Michoacán;Mexico;20.1;20.1;Overcast
San Lorenzo;Guerrero;Mexico;20.1;20.1;Overcast
Salamanca;Guanajuato;Mexico;8.1;5.8;Clear
Monclova;Coahuila;Mexico;34.2;35.5;Partly cloudy
Mexicali;Baja California;Mexico;40.2;40.2;Sunny
Matamoros;Coahuila;Mexico;35.4;34.1;Sunny
La Paz;Coahuila;Mexico;5.3;2.5;Clear
La Paz;Baja California Sur;Mexico;5.3;2.5;Clear
Allende;Jalisco;Mexico;30.5;33.4;Sunny
Guadalajara;Jalisco;Mexico;31.5;29.9;Partly Cloudy
El Fuerte;Sinaloa;Mexico;32.4;31.7;Sunny
El Fuerte;Zacatecas;Mexico;32.4;31.7;Sunny
El Fuerte;San Luis Potosí;Mexico;32.4;31.7;Sunny
El Fuerte;Michoacán;Mexico;32.4;31.7;Sunny
Cuautla;Jalisco;Mexico;30.3;30.3;Partly cloudy
Hidalgo;Durango;Mexico;29.9;27.7;Overcast
Allende;Sonora;Mexico;30.5;33.4;Sunny
Celaya;Guanajuato;Mexico;27.7;27.6;Light rain shower
Carmen;Nuevo León;Mexico;29.3;33.4;Patchy rain nearby
Buenaventura;Chihuahua;Mexico;25.1;28.1;Patchy rain nearby
Allende;Coahuila;Mexico;30.5;33.4;Sunny
Hidalgo;Nuevo León;Mexico;29.9;27.7;Overcast
Santa Rosa;Guanajuato;Mexico;33.2;41.1;Sunny
San Lorenzo;Puebla;Mexico;20.1;20.1;Overcast
Ipoh;Perak;Malaysia;28.1;33.8;Partly Cloudy
Sungai Petani;Kedah;Malaysia;28.0;35.4;Patchy light rain with thunder
Kuching;Sarawak;Malaysia;30.0;38.9;Partly cloudy
Tete;Tete;Mozambique;21.2;21.2;Clear
Beira;Sofala;Mozambique;20.8;20.8;Light rain shower
Zaria;Kaduna State;Nigeria;27.9;27.7;Clear
Sokoto;Sokoto;Nigeria;33.0;30.8;Clear
Oyo;Oyo State;Nigeria;7.6;4.9;Clear
Owo;Ondo State;Nigeria;23.1;25.6;Fog
Ondo;Ondo State;Nigeria;22.9;25.5;Fog
Kaduna;Kaduna State;Nigeria;27.6;28.3;Clear
Ilorin;Kwara State;Nigeria;25.1;27.5;Partly Cloudy
Ede;Osun State;Nigeria;19.4;19.4;Clear
Benin City;Edo State;Nigeria;24.1;26.9;Fog
San Lorenzo;Boaco Department;Nicaragua;20.1;20.1;Overcast
Emmen;Drenthe;Netherlands;6.2;3.0;Patchy rain nearby
Ede;Gelderland;Netherlands;19.4;19.4;Clear
Apeldoorn;Gelderland;Netherlands;4.1;0.8;Patchy rain nearby
Amersfoort;Utrecht;Netherlands;4.1;1.1;Patchy rain nearby
Malm;Trøndelag;Norway;5.2;1.1;Light rain
Yangor;Aiwo District;Nauru;28.4;32.2;Patchy rain nearby
Lincoln;Canterbury;New Zealand;17.8;17.8;Sunny
Hamilton;Waikato Region;New Zealand;10.5;8.9;Fog
Sunnyvale;Auckland;New Zealand;19.4;19.4;Sunny
Lincoln;Auckland;New Zealand;17.8;17.8;Sunny
Woodridge;Wellington Region;New Zealand;11.1;10.9;Overcast
Santa Rosa;Chiriquí Province;Panama;33.2;41.1;Sunny
San Lorenzo;Chiriquí Province;Panama;20.1;20.1;Overcast
El Alto;Veraguas Province;Panama;22.0;24.6;Partly cloudy
Sullana;Piura;Peru;24.2;25.6;Clear
Sucre;Ancash;Peru;13.4;12.7;Patchy rain nearby
Sucre;Cajamarca Department;Peru;13.4;12.7;Patchy rain nearby
Santa Rosa;Ancash;Peru;33.2;41.1;Sunny
Santa Rosa;Lambayeque;Peru;33.2;41.1;Sunny
