cidade;film_id;title;total_alugueis
Leshan;753;RUSH GOODFELLAS;2
Tabora;536;LOVELY JINGLE;2
Pak Kret;49;BADMAN DAWN;2
Gandhinagar;961;WASH HEAVENLY;2
Florencia;753;RUSH GOODFELLAS;2
Rancagua;360;GLASS DYING;2
Southampton;676;PHILADELPHIA WIFE;2
Gatineau;273;EFFECT GLADIATOR;2
Kuching;242;DOOM DANCING;2
al-Qatif;953;WAIT CIDER;2
Ueda;690;POND SEATTLE;2
Tianjin;535;LOVE SUICIDES;2
Tandil;741;ROMAN PUNK;2
Kaduna;995;YENTL IDAHO;2
Probolinggo;579;MINDS TRUMAN;2
Ourense (Orense);646;OUTBREAK DIVINE;2
Bhopal;116;CANDIDATE PERDITION;2
Iwakuni;953;WAIT CIDER;2
Bijapur;972;WHISPERER GIANT;2
Tangail;952;WAGON JAWS;2
Bayugan;638;OPERATION OPERATION;2
Ibirit;120;CARIBBEAN LIBERTY;2
Ljubertsy;576;MIGHTY LUCK;2
Udine;86;BOOGIE AMELIE;2
Sousse;440;HUNGER ROOF;2
Beni-Mellal;880;TELEMARK HEARTBREAKERS;2
Najafabad;504;KWAI HOMEWARD;2
Baha Blanca;619;NEIGHBORS CHARADE;2
Faaa;785;SHAWSHANK BUBBLE;2
Hoshiarpur;915;TRUMAN CRAZY;2
Oulu;21;AMERICAN CIRCUS;2
Greensboro;206;DANCING FEVER;2
Halle/Saale;972;WHISPERER GIANT;2
Rio Claro;951;VOYAGE LEGALLY;2
Valparai;460;INNOCENT USUAL;2
Benguela;502;KNOCK WARLOCK;2
Nador;941;VIDEOTAPE ARSENIC;2
Jining;214;DAUGHTER MADIGAN;2
Uijongbu;254;DRIVER ANNIE;2
Inegl;388;GUNFIGHT MOON;2
Chiayi;929;USUAL UNTOUCHABLES;2
Mannheim;326;FLYING HOOK;2
Lima;643;ORIENT CLOSER;2
London;209;DARKNESS WAR;2
Tandil;629;NOTORIOUS REUNION;2
Salinas;341;FROST HEAD;2
Hamilton;554;MALKOVICH PET;2
Baha Blanca;298;EYES DRIVING;2
Kalisz;756;SADDLE ANTITRUST;2
Braslia;575;MIDSUMMER GROUNDHOG;2
Chandrapur;987;WORDS HUNTER;2
Sasebo;663;PATIENT SISTER;2
Yangor;854;STRANGERS GRAFFITI;2
Fuyu;805;SLEEPLESS MONSOON;2
Cabuyao;603;MOVIE SHAKESPEARE;2
Tiefa;568;MEMENTO ZOOLANDER;2
Apeldoorn;215;DAWN POND;2
Santa Brbara dOeste;973;WIFE TURN;2
Kamjanets-Podilskyi;220;DEER VIRGINIAN;2
Memphis;856;STREETCAR INTENTIONS;2
Ife;95;BREAKFAST GOLDFINGER;2
London;127;CAT CONEHEADS;2
Donostia-San Sebastin;723;REIGN GENTLEMEN;2
Bhavnagar;561;MASK PEACH;2
Huaian;143;CHILL LUCK;2
Brindisi;588;MODEL FISH;2
Dundee;973;WIFE TURN;2
Satna;207;DANGEROUS UPTOWN;2
Dhule (Dhulia);12;ALASKA PHANTOM;2
Tegal;942;VIETNAM SMOOCHY;2
Miraj;165;COLDBLOODED DARLING;2
Kamyin;745;ROSES TREASURE;2
Plock;113;CALIFORNIA BIRDS;2
Vilnius;873;SWEETHEARTS SUSPECTS;2
Avellaneda;84;BOILED DARES;2
Graz;645;OTHERS SOUP;2
Zhezqazghan;12;ALASKA PHANTOM;2
Abu Dhabi;353;GENTLEMEN STAGE;2
Bat Yam;297;EXTRAORDINARY CONQUERER;1
Munger (Monghyr);981;WOLVES DESIRE;1
Baybay;758;SAINTS BRIDE;1
Boksburg;730;RIDGEMONT SUBMARINE;1
Madiun;491;JUMPING WRATH;1
Uruapan;938;VELVET TERMINATOR;1
Ruse;300;FALCON VOLUME;1
Idfu;982;WOMEN DORADO;1
Carmen;116;CANDIDATE PERDITION;1
Tonghae;135;CHANCE RESURRECTION;1
Bayugan;89;BORROWERS BEDAZZLED;1
Iwaki;366;GOLDFINGER SENSIBILITY;1
Roanoke;23;ANACONDA CONFESSIONS;1
Tangail;250;DRAGON SQUAD;1
Daugavpils;611;MUSKETEERS WAIT;1
Touliu;649;OZ LIAISONS;1
Warren;575;MIDSUMMER GROUNDHOG;1
Zanzibar;986;WONKA SEA;1
Mardan;707;QUEST MUSSOLINI;1
Brescia;234;DISTURBING SCARFACE;1
Tarlac;775;SEATTLE EXPECATIONS;1
Dzerzinsk;608;MURDER ANTITRUST;1
Omiya;880;TELEMARK HEARTBREAKERS;1
Lubumbashi;132;CHAINSAW UPTOWN;1
Tel Aviv-Jaffa;391;HALF OUTFIELD;1
Lapu-Lapu;973;WIFE TURN;1
Johannesburg;272;EDGE KISSING;1
Emmen;340;FRONTIER CABIN;1
Chandrapur;462;INSIDER ARIZONA;1
Hanoi;856;STREETCAR INTENTIONS;1
Buenaventura;465;INTERVIEW LIAISONS;1
Konotop;416;HIGHBALL POTTER;1
Lancaster;346;GALAXY SWEETHEARTS;1
Newcastle;86;BOOGIE AMELIE;1
Shikarpur;689;POLLOCK DELIVERANCE;1
Balaiha;897;TORQUE BOUND;1
Antofagasta;970;WESTWARD SEABISCUIT;1
Saint-Denis;75;BIRD INDEPENDENCE;1
Salzburg;184;CORE SUIT;1
Luzinia;155;CLEOPATRA DEVIL;1
Simferopol;271;EASY GLADIATOR;1
Parbhani;377;GREASE YOUTH;1
Nuuk;289;EVE RESURRECTION;1
Yuzhou;782;SHAKESPEARE SADDLE;1
Garden Grove;285;ENGLISH BULWORTH;1
Ourense (Orense);946;VIRTUAL SPOILERS;1
ostka;831;SPIRITED CASUALTIES;1
Beira;51;BALLOON HOMEWARD;1
Buenaventura;1000;ZORRO ARK;1
Batna;492;JUNGLE CLOSER;1
Cianjur;488;JOON NORTHWEST;1
Ivanovo;370;GORGEOUS BINGO;1
Kalisz;260;DUDE BLINDNESS;1
Pyongyang;570;MERMAID INSECTS;1
Cabuyao;432;HOPE TOOTSIE;1
Nuuk;677;PIANIST OUTFIELD;1
Taizz;139;CHASING FIGHT;1
Shimonoseki;456;INCH JET;1
Sousse;637;OPEN AFRICAN;1
San Bernardino;421;HOLIDAY GAMES;1
Bandar Seri Begawan;793;SHRUNK DIVINE;1
Baha Blanca;820;SONS INTERVIEW;1
Bratislava;288;ESCAPE METROPOLIS;1
Bradford;215;DAWN POND;1
Myingyan;19;AMADEUS HOLY;1
Haiphong;281;ENCINO ELF;1
Fuzhou;958;WARDROBE PHANTOM;1
Ueda;393;HALLOWEEN NUTS;1
Pavlodar;418;HOBBIT ALIEN;1
Kermanshah;226;DESTINY SATURDAY;1
Tokat;5;AFRICAN EGG;1
Higashiosaka;845;STEPMOM DREAM;1
Hiroshima;797;SILENCE KANE;1
El Monte;30;ANYTHING SAVANNAH;1
Manchester;705;PURPLE MOVIE;1
Witten;914;TROUBLE DATE;1
Tanauan;916;TURN STAR;1
Pudukkottai;575;MIDSUMMER GROUNDHOG;1
Zhoushan;252;DREAM PICKUP;1
Changhwa;443;HURRICANE AFFAIR;1
Kamjanets-Podilskyi;139;CHASING FIGHT;1
Laohekou;624;NIGHTMARE CHILL;1
Joliet;786;SHEPHERD MIDSUMMER;1
Portoviejo;803;SLACKER LIAISONS;1
Hanoi;578;MILLION ACE;1
Sullana;781;SEVEN SWARM;1
Konotop;655;PANTHER REDS;1
Toulouse;775;SEATTLE EXPECATIONS;1
Botshabelo;357;GILBERT PELICAN;1
Lublin;666;PAYCHECK WAIT;1
Kabul;406;HAUNTING PIANIST;1
Jamalpur;168;COMANCHEROS ENEMY;1
Fuyu;932;VALLEY PACKER;1
Lincoln;308;FERRIS MOTHER;1
Banjul;205;DANCES NONE;1
Shaoguan;18;ALTER VICTORY;1
Zaoyang;850;STORY SIDE;1
Tete;158;CLONES PINOCCHIO;1
Hodeida;267;EAGLES PANKY;1
Niznekamsk;573;MICROCOSMOS PARADISE;1
Tokat;581;MINORITY KISS;1
Rae Bareli;484;JERK PAYCHECK;1
Sanaa;913;TROOPERS METAL;1
Bradford;580;MINE TITANS;1
al-Hawiya;938;VELVET TERMINATOR;1
Kamjanets-Podilskyi;266;DYNAMITE TARZAN;1
Ashdod;116;CANDIDATE PERDITION;1
Memphis;516;LEGEND JEDI;1
Jalib al-Shuyukh;290;EVERYONE CRAFT;1
Caracas;292;EXCITEMENT EVE;1
Arak;512;LEAGUE HELLFIGHTERS;1
Basel;618;NECKLACE OUTBREAK;1
Pathankot;796;SIERRA DIVIDE;1
Varanasi (Benares);491;JUMPING WRATH;1
Surakarta;750;RUN PACIFIC;1
Naala-Porto;563;MASSACRE USUAL;1
Olomouc;10;ALADDIN CALENDAR;1
Faaa;60;BEAST HUNCHBACK;1
al-Qatif;395;HANDICAP BOONDOCK;1
Kuching;310;FEVER EMPIRE;1
Crdoba;679;PILOT HOOSIERS;1
Denizli;349;GANGS PRIDE;1
Madiun;772;SEA VIRGIN;1
Lapu-Lapu;502;KNOCK WARLOCK;1
Lubumbashi;142;CHICKEN HELLFIGHTERS;1
Rancagua;232;DIRTY ACE;1
Anpolis;535;LOVE SUICIDES;1
Nha Trang;818;SOMETHING DUCK;1
Escobar;479;JEDI BENEATH;1
Lipetsk;986;WONKA SEA;1
Newcastle;294;EXPECATIONS NATURAL;1
Cape Coral;327;FOOL MOCKINGBIRD;1
Myingyan;740;ROLLERCOASTER BRINGING;1
Simferopol;816;SNOWMAN ROLLERCOASTER;1
Donostia-San Sebastin;879;TELEGRAPH VOYAGE;1
Bijapur;147;CHOCOLAT HARRY;1
Wroclaw;727;RESURRECTION SILVERADO;1
Lhokseumawe;203;DAISY MENAGERIE;1
Tabriz;603;MOVIE SHAKESPEARE;1
Guadalajara;457;INDEPENDENCE HOTEL;1
Omiya;337;FRIDA SLIPPER;1
Shivapuri;759;SALUTE APOLLO;1
Araatuba;813;SMOOCHY CONTROL;1
Pontianak;601;MOULIN WAKE;1
San Felipe de Puerto Plata;301;FAMILY SWEET;1
Zhoushan;728;REUNION WITCHES;1
Shimoga;284;ENEMY ODDS;1
Springs;303;FANTASY TROOPERS;1
Jaroslavl;759;SALUTE APOLLO;1
Coquimbo;304;FARGO GANDHI;1
Tama;906;TRAMP OTHERS;1
Rampur;78;BLACKOUT PRIVATE;1
Hamilton;628;NORTHWEST POLISH;1
Talavera;757;SAGEBRUSH CLUELESS;1
Botosani;417;HILLS NEIGHBORS;1
Xinxiang;433;HORN WORKING;1
Jelets;637;OPEN AFRICAN;1
Donostia-San Sebastin;820;SONS INTERVIEW;1
Ikerre;158;CLONES PINOCCHIO;1
Ocumare del Tuy;382;GRIT CLOCKWORK;1
Ahmadnagar;316;FIRE WOLVES;1
Maracabo;749;RULES HUMAN;1
Vilnius;26;ANNIE IDENTITY;1
Skikda;763;SATISFACTION CONFIDENTIAL;1
Caracas;15;ALIEN CENTER;1
Paarl;70;BIKINI BORROWERS;1
Lengshuijiang;366;GOLDFINGER SENSIBILITY;1
Zanzibar;836;SQUAD FISH;1
al-Qatif;268;EARLY HOME;1
Tabriz;203;DAISY MENAGERIE;1
Tel Aviv-Jaffa;764;SATURDAY LAMBS;1
Iwakuni;117;CANDLES GRAPES;1
Dayton;996;YOUNG LANGUAGE;1
Jinzhou;902;TRADING PINOCCHIO;1
Elista;770;SCISSORHANDS SLUMS;1
Stara Zagora;619;NEIGHBORS CHARADE;1
Lausanne;803;SLACKER LIAISONS;1
Quilmes;819;SONG HEDWIG;1
Warren;255;DRIVING POLISH;1
Adana;457;INDEPENDENCE HOTEL;1
Malm;91;BOUND CHEAPER;1
Dos Quebradas;172;CONEHEADS SMOOCHY;1
Aurora;788;SHIP WONDERLAND;1
Cuman;728;REUNION WITCHES;1
Lincoln;77;BIRDS PERDITION;1
Shanwei;344;FURY MURDER;1
A Corua (La Corua);184;CORE SUIT;1
La Plata;34;ARABIA DOGMA;1
Cape Coral;800;SINNERS ATLANTIS;1
Richmond Hill;702;PULP BEVERLY;1
Datong;936;VANISHING ROCKY;1
Shikarpur;789;SHOCK CABIN;1
Boksburg;926;UNTOUCHABLES SUNRISE;1
Buenaventura;901;TRACY CIDER;1
Yaound;553;MAKER GABLES;1
Sucre;465;INTERVIEW LIAISONS;1
Chungho;776;SECRET GROUNDHOG;1
Hodeida;684;PIZZA JUMANJI;1
Okayama;628;NORTHWEST POLISH;1
Beira;768;SCARFACE BANG;1
Weifang;354;GHOST GROUNDHOG;1
Funafuti;588;MODEL FISH;1
Udaipur;731;RIGHT CRANES;1
Kowloon and New Kowloon;37;ARIZONA BANG;1
Kuwana;211;DARLING BREAKING;1
Tokat;73;BINGO TALENTED;1
Newcastle;96;BREAKING HOME;1
Patiala;973;WIFE TURN;1
Erlangen;301;FAMILY SWEET;1
Joliet;334;FREDDY STORM;1
Greensboro;925;UNITED PILOT;1
Ciomas;933;VAMPIRE WHALE;1
Oshawa;95;BREAKFAST GOLDFINGER;1
Uluberia;650;PACIFIC AMISTAD;1
Fukuyama;188;CRAZY HOME;1
Kakamigahara;787;SHINING ROSES;1
Emeishan;568;MEMENTO ZOOLANDER;1
Ashqelon;127;CAT CONEHEADS;1
Szkesfehrvr;848;STONE FIRE;1
Ibirit;932;VALLEY PACKER;1
Ondo;262;DUMBO LUST;1
Cabuyao;525;LOATHING LEGALLY;1
Toulon;377;GREASE YOUTH;1
Phnom Penh;679;PILOT HOOSIERS;1
Sumqayit;68;BETRAYED REAR;1
So Leopoldo;140;CHEAPER CLYDE;1
Skikda;707;QUEST MUSSOLINI;1
Syrakusa;387;GUN BONNIE;1
San Juan Bautista Tuxtepec;172;CONEHEADS SMOOCHY;1
Kamyin;870;SWARM GOLD;1
Bern;89;BORROWERS BEDAZZLED;1
Sirjan;851;STRAIGHT HOURS;1
Chungho;930;VACATION BOONDOCK;1
Ciomas;614;NAME DETECTIVE;1
Baybay;989;WORKING MICROCOSMOS;1
Liaocheng;790;SHOOTIST SUPERFLY;1
Santa Rosa;365;GOLD RIVER;1
Stockport;160;CLUB GRAFFITI;1
Tiefa;107;BUNCH MINDS;1
Ede;834;SPOILERS HELLFIGHTERS;1
Patiala;140;CHEAPER CLYDE;1
Otsu;358;GILMORE BOILED;1
Oyo;295;EXPENDABLE STALLION;1
Kimberley;789;SHOCK CABIN;1
Ezhou;239;DOGMA FAMILY;1
Tychy;250;DRAGON SQUAD;1
Le Mans;870;SWARM GOLD;1
Syrakusa;339;FROGMEN BREAKING;1
Buenaventura;995;YENTL IDAHO;1
Atinsk;460;INNOCENT USUAL;1
London;179;CONQUERER NUTS;1
Yinchuan;51;BALLOON HOMEWARD;1
Rampur;598;MOSQUITO ARMAGEDDON;1
Lilongwe;688;POLISH BROOKLYN;1
Chisinau;228;DETECTIVE VISION;1
Kumbakonam;314;FIGHT JAWBREAKER;1
Ourense (Orense);987;WORDS HUNTER;1
Mexicali;906;TRAMP OTHERS;1
Bergamo;21;AMERICAN CIRCUS;1
Hidalgo;4;AFFAIR PREJUDICE;1
Korla;554;MALKOVICH PET;1
Po;428;HOMICIDE PEACH;1
Olomouc;252;DREAM PICKUP;1
Cape Coral;226;DESTINY SATURDAY;1
Qalyub;684;PIZZA JUMANJI;1
Beni-Mellal;159;CLOSER BANG;1
Dzerzinsk;39;ARMAGEDDON LOST;1
Hodeida;227;DETAILS PACKER;1
Inegl;184;CORE SUIT;1
Jaroslavl;971;WHALE BIKINI;1
Charlotte Amalie;818;SOMETHING DUCK;1
Sorocaba;263;DURHAM PANKY;1
Sultanbeyli;498;KILLER INNOCENT;1
Weifang;257;DRUMLINE CYCLONE;1
Asuncin;606;MUMMY CREATURES;1
Tuguegarao;971;WHALE BIKINI;1
Witten;882;TENENBAUMS COMMAND;1
Aparecida de Goinia;916;TURN STAR;1
Klerksdorp;782;SHAKESPEARE SADDLE;1
Ciudad del Este;176;CONGENIALITY QUEST;1
Nezahualcyotl;970;WESTWARD SEABISCUIT;1
A Corua (La Corua);308;FERRIS MOTHER;1
Naju;398;HANOVER GALAXY;1
Zeleznogorsk;45;ATTRACTION NEWTON;1
Balurghat;109;BUTTERFLY CHOCOLAT;1
Tiefa;12;ALASKA PHANTOM;1
Gatineau;468;INVASION CYCLONE;1
Kamakura;863;SUN CONFESSIONS;1
Ljubertsy;132;CHAINSAW UPTOWN;1
Santiago de Compostela;232;DIRTY ACE;1
Nukualofa;428;HOMICIDE PEACH;1
Coacalco de Berriozbal;831;SPIRITED CASUALTIES;1
Dhule (Dhulia);460;INNOCENT USUAL;1
Oyo;49;BADMAN DAWN;1
Ciomas;599;MOTHER OLEANDER;1
Salamanca;633;OCTOBER SUBMARINE;1
Vaduz;807;SLEUTH ORIENT;1
Aden;153;CITIZEN SHREK;1
Kirovo-Tepetsk;791;SHOW LORD;1
Dundee;494;KARATE MOON;1
Huejutla de Reyes;917;TUXEDO MILE;1
Ruse;129;CAUSE DATE;1
Poos de Caldas;74;BIRCH ANTITRUST;1
Santa Rosa;65;BEHAVIOR RUNAWAY;1
Baicheng;306;FEATHERS METAL;1
Peoria;12;ALASKA PHANTOM;1
Phnom Penh;696;PRIDE ALAMO;1
Vitria de Santo Anto;995;YENTL IDAHO;1
Molodetno;514;LEBOWSKI SOLDIERS;1
Miyakonojo;590;MONEY HAROLD;1
Ife;465;INTERVIEW LIAISONS;1
Yuzhou;483;JERICHO MULAN;1
Tokat;692;POTLUCK MIXED;1
Tabriz;235;DIVIDE MONSTER;1
Kuching;542;LUST LOCK;1
Stara Zagora;1000;ZORRO ARK;1
Jaipur;86;BOOGIE AMELIE;1
London;167;COMA HEAD;1
Enshi;651;PACKER MADIGAN;1
Bchar;972;WHISPERER GIANT;1
Tanza;352;GATHERING CALENDAR;1
Bhavnagar;39;ARMAGEDDON LOST;1
Qinhuangdao;724;REMEMBER DIARY;1
Touliu;733;RIVER OUTLAW;1
Jastrzebie-Zdrj;797;SILENCE KANE;1
Ezeiza;376;GRAPES FURY;1
El Fuerte;734;ROAD ROXANNE;1
Sanya;651;PACKER MADIGAN;1
Johannesburg;220;DEER VIRGINIAN;1
Celaya;199;CUPBOARD SINNERS;1
Jastrzebie-Zdrj;241;DONNIE ALLEY;1
Coacalco de Berriozbal;512;LEAGUE HELLFIGHTERS;1
Gaziantep;899;TOWERS HURRICANE;1
Brescia;135;CHANCE RESURRECTION;1
Lhokseumawe;424;HOLOCAUST HIGHBALL;1
Bydgoszcz;882;TENENBAUMS COMMAND;1
Santo Andr;764;SATURDAY LAMBS;1
Xinxiang;286;ENOUGH RAGING;1
Arak;961;WASH HEAVENLY;1
Higashiosaka;35;ARACHNOPHOBIA ROLLERCOASTER;1
Mysore;814;SNATCH SLIPPER;1
Ife;528;LOLITA WORLD;1
Southend-on-Sea;615;NASH CHOCOLAT;1
Nha Trang;668;PEAK FOREVER;1
Fuzhou;43;ATLANTIS CAUSE;1
Bhusawal;834;SPOILERS HELLFIGHTERS;1
Serpuhov;936;VANISHING ROCKY;1
Coatzacoalcos;843;STEEL SANTA;1
Pemalang;266;DYNAMITE TARZAN;1
Robamba;514;LEBOWSKI SOLDIERS;1
Najafabad;212;DARN FORRESTER;1
Isesaki;528;LOLITA WORLD;1
Lengshuijiang;836;SQUAD FISH;1
Garden Grove;959;WARLOCK WEREWOLF;1
Dos Quebradas;884;TERMINATOR CLUB;1
Valencia;50;BAKED CLEOPATRA;1
Crdoba;433;HORN WORKING;1
Wroclaw;285;ENGLISH BULWORTH;1
Zaoyang;51;BALLOON HOMEWARD;1
Saint Louis;985;WONDERLAND CHRISTMAS;1
Tongliao;759;SALUTE APOLLO;1
Sungai Petani;644;OSCAR GOLD;1
Merlo;458;INDIAN LOVE;1
Nantou;37;ARIZONA BANG;1
Sivas;683;PITY BOUND;1
Kamakura;827;SPICE SORORITY;1
Sharja;394;HAMLET WISDOM;1
Uruapan;123;CASABLANCA SUPER;1
Haining;545;MADNESS ATTACKS;1
Kaduna;973;WIFE TURN;1
Tychy;308;FERRIS MOTHER;1
Nam Dinh;783;SHANE DARKNESS;1
Yerevan;624;NIGHTMARE CHILL;1
Patiala;149;CHRISTMAS MOONSHINE;1
Haldia;937;VARSITY TRIP;1
Ashgabat;299;FACTORY DRAGON;1
Jining;1000;ZORRO ARK;1
Usak;6;AGENT TRUMAN;1
Boksburg;653;PANIC CLUB;1
Nanyang;1000;ZORRO ARK;1
Boksburg;18;ALTER VICTORY;1
Datong;114;CAMELOT VACATION;1
Sungai Petani;409;HEARTBREAKERS BRIGHT;1
Huixquilucan;422;HOLLOW JEOPARDY;1
Baybay;971;WHALE BIKINI;1
El Alto;253;DRIFTER COMMANDMENTS;1
Lengshuijiang;109;BUTTERFLY CHOCOLAT;1
Garland;427;HOMEWARD CIDER;1
Bern;294;EXPECATIONS NATURAL;1
Shimoga;505;LABYRINTH LEAGUE;1
Stockport;991;WORST BANGER;1
Baybay;271;EASY GLADIATOR;1
Izumisano;707;QUEST MUSSOLINI;1
Santo Andr;765;SATURN NAME;1
Udaipur;81;BLINDNESS GUN;1
Mexicali;453;IMAGE PRINCESS;1
Luzinia;827;SPICE SORORITY;1
Greensboro;236;DIVINE RESURRECTION;1
Loja;534;LOUISIANA HARRY;1
Cianjur;208;DARES PLUTO;1
Nagareyama;352;GATHERING CALENDAR;1
Changhwa;970;WESTWARD SEABISCUIT;1
Xintai;400;HARDLY ROBBERS;1
Jelets;865;SUNRISE LEAGUE;1
Dundee;512;LEAGUE HELLFIGHTERS;1
Fuzhou;160;CLUB GRAFFITI;1
Jastrzebie-Zdrj;98;BRIGHT ENCOUNTERS;1
Yamuna Nagar;186;CRAFT OUTFIELD;1
Tychy;972;WHISPERER GIANT;1
Cabuyao;17;ALONE TRIP;1
Halisahar;199;CUPBOARD SINNERS;1
Rampur;5;AFRICAN EGG;1
