time,cidade,regiao,temp_c,feelslike_c,humidity,precip_mm,wind_kph,pressure_mb,uv,vis_km,condicao,is_day
2025-01-03 19:00:00,Belo Horizonte,Sul,12.2,19.7,46,0.3,6.2,1022.7,6,8.2,Ensolarado,1
2025-01-03 20:00:00,Manaus,Sudeste,17.6,18.2,98,0.4,5.0,1000.1,11,7.7,Nublado,0
2025-01-03 21:00:00,Manaus,Norte,22.7,29.1,59,4.5,12.8,1008.1,4,9.5,Parcialmente nublado,0
2025-01-03 22:00:00,Capanema,Sul,21.2,24.9,94,1.4,9.7,1029.5,9,4.9,Neblina,0
2025-01-03 23:00:00,Porto Alegre,Norte,17.0,19.7,46,2.4,9.6,1011.9,4,7.2,Ensolarado,0
2025-01-04 00:00:00,Porto Alegre,Norte,26.9,29.0,65,0.1,11.8,1011.9,10,7.5,Nublado,0
2025-01-04 01:00:00,Belo Horizonte,Norte,31.2,30.2,96,2.6,14.4,1016.3,1,9.7,Ensolarado,0
2025-01-04 02:00:00,Porto Alegre,Norte,24.1,27.4,72,1.8,8.6,1018.3,9,7.8,Tempestade,0
2025-01-04 03:00:00,Belo Horizonte,Sudeste,16.7,26.4,95,1.0,9.3,997.4,10,6.3,Ensolarado,1
2025-01-04 04:00:00,Capanema,Sul,26.0,30.1,93,0.2,15.4,1016.5,8,8.8,Neblina,1
2025-01-04 05:00:00,Manaus,Sul,19.5,26.3,54,0.5,4.0,1022.0,10,11.8,Ensolarado,0
2025-01-04 06:00:00,Manaus,Norte,20.0,25.6,53,0.6,11.1,1035.7,6,8.1,Chuva leve,0
2025-01-04 07:00:00,Manaus,Sul,29.8,22.4,89,0.2,9.6,991.8,5,9.5,Tempestade,0
2025-01-04 08:00:00,Porto Alegre,Sul,31.0,21.6,75,1.5,5.8,1019.6,6,6.5,Tempestade,0
2025-01-04 09:00:00,Capanema,Norte,23.6,27.1,81,1.1,10.6,997.5,1,7.4,Chuva leve,0
2025-01-04 10:00:00,Porto Alegre,Norte,28.7,23.8,61,7.4,9.9,1021.1,8,10.3,Chuva leve,1
2025-01-04 11:00:00,Porto Alegre,Sudeste,19.6,33.8,96,2.4,8.2,1015.0,6,7.5,Neblina,1
2025-01-04 12:00:00,Capanema,Sudeste,27.6,27.3,80,0.6,8.1,1016.3,7,8.9,Parcialmente nublado,1
2025-01-04 13:00:00,Capanema,Norte,23.1,22.7,42,0.4,9.9,1002.1,7,5.9,Tempestade,0
2025-01-04 14:00:00,Capanema,Sudeste,18.4,28.0,43,2.5,14.4,1003.1,0,6.8,Chuva leve,0
2025-01-04 15:00:00,Capanema,Sudeste,20.5,26.5,66,0.6,11.2,1001.5,4,6.0,Tempestade,1
2025-01-04 16:00:00,Manaus,Sul,27.1,28.7,77,1.6,8.6,1016.5,6,6.1,Neblina,0
2025-01-04 17:00:00,São Paulo,Norte,17.6,28.8,99,4.1,12.9,1029.2,7,7.1,Chuva leve,0
2025-01-04 18:00:00,São Paulo,Sul,23.6,24.0,80,1.8,10.8,1008.9,1,8.7,Nublado,1
2025-01-04 19:00:00,Capanema,Sul,30.3,28.1,83,2.6,12.7,1022.1,1,6.4,Ensolarado,0
2025-01-04 20:00:00,São Paulo,Norte,22.5,35.1,97,0.5,10.0,1009.9,11,6.6,Neblina,0
2025-01-04 21:00:00,São Paulo,Sul,17.3,24.0,95,2.4,11.2,1007.1,3,9.3,Nublado,0
2025-01-04 22:00:00,Capanema,Sudeste,23.6,25.3,66,0.3,14.1,1011.3,8,7.5,Parcialmente nublado,0
2025-01-04 23:00:00,São Paulo,Sudeste,28.4,21.9,88,1.9,10.4,1004.6,1,7.6,Chuva leve,1
2025-01-05 00:00:00,Porto Alegre,Sudeste,18.5,32.1,67,0.9,17.1,995.9,0,9.5,Chuva leve,1
2025-01-05 01:00:00,Belo Horizonte,Sudeste,30.9,26.7,47,0.7,7.1,1025.8,5,6.7,Tempestade,0
2025-01-05 02:00:00,Belo Horizonte,Sudeste,28.8,20.9,59,0.8,12.1,1009.4,10,4.5,Nublado,1
2025-01-05 03:00:00,Capanema,Sul,26.8,22.1,71,0.6,12.8,1023.4,6,7.1,Tempestade,1
2025-01-05 04:00:00,Manaus,Norte,27.9,23.4,75,0.9,9.1,1012.4,3,10.2,Neblina,1
2025-01-05 05:00:00,Capanema,Sul,25.6,32.0,76,0.3,12.5,1010.4,5,6.6,Chuva leve,1
2025-01-05 06:00:00,Manaus,Sul,26.7,27.6,59,1.6,12.1,1014.0,0,9.5,Ensolarado,1
2025-01-05 07:00:00,Belo Horizonte,Sudeste,25.4,26.2,99,0.3,8.3,1022.8,10,8.4,Nublado,1
2025-01-05 08:00:00,Capanema,Sudeste,29.4,24.0,71,1.1,18.4,1023.7,4,8.5,Chuva leve,1
2025-01-05 09:00:00,Porto Alegre,Sul,31.5,27.0,66,1.7,10.4,1013.2,3,9.8,Ensolarado,0
2025-01-05 10:00:00,São Paulo,Sul,20.9,24.5,63,8.8,13.7,1007.4,2,6.8,Nublado,0
2025-01-05 11:00:00,Manaus,Norte,21.5,32.4,89,0.1,16.2,1031.9,2,9.1,Parcialmente nublado,0
2025-01-05 12:00:00,São Paulo,Norte,23.0,27.6,72,1.5,7.1,1006.0,8,5.8,Chuva leve,1
2025-01-05 13:00:00,São Paulo,Norte,22.0,22.9,53,5.6,14.0,1007.0,10,7.2,Ensolarado,0
2025-01-05 14:00:00,Capanema,Norte,30.7,24.2,72,0.3,7.8,1015.0,2,8.5,Parcialmente nublado,0
2025-01-05 15:00:00,São Paulo,Norte,17.5,33.7,99,0.6,3.5,1002.1,1,9.1,Ensolarado,1
2025-01-05 16:00:00,Porto Alegre,Sudeste,27.7,26.2,87,2.4,7.0,995.9,3,10.6,Parcialmente nublado,0
2025-01-05 17:00:00,São Paulo,Norte,31.9,33.2,52,2.7,12.6,1018.7,7,11.0,Ensolarado,0
2025-01-05 18:00:00,Capanema,Sul,22.1,27.9,99,1.0,9.6,1026.0,7,8.4,Neblina,0
2025-01-05 19:00:00,Porto Alegre,Sudeste,32.4,28.7,60,0.6,10.4,1021.4,4,3.7,Chuva leve,0
2025-01-05 20:00:00,Belo Horizonte,Sul,30.8,24.8,88,0.2,9.9,1021.4,2,7.5,Ensolarado,0
2025-01-05 21:00:00,São Paulo,Sudeste,23.3,30.2,61,0.8,11.6,1008.4,4,8.5,Chuva leve,0
2025-01-05 22:00:00,Capanema,Sudeste,29.1,22.2,71,0.7,7.7,1022.8,5,7.1,Parcialmente nublado,1
2025-01-05 23:00:00,Belo Horizonte,Norte,20.9,24.0,43,9.7,11.8,1017.3,0,5.9,Neblina,1
2025-01-06 00:00:00,Belo Horizonte,Sul,19.5,28.4,89,5.6,2.6,1021.4,2,8.7,Neblina,0
2025-01-06 01:00:00,Manaus,Norte,22.7,25.8,43,1.0,8.2,1010.9,3,9.3,Tempestade,1
2025-01-06 02:00:00,Porto Alegre,Sul,31.8,27.1,44,0.3,7.0,1005.2,10,13.1,Parcialmente nublado,1
2025-01-06 03:00:00,São Paulo,Sul,22.7,29.1,65,0.8,8.1,985.0,0,10.9,Tempestade,0
2025-01-06 04:00:00,Capanema,Norte,25.2,26.8,93,2.3,5.3,1021.9,9,9.6,Chuva leve,0
2025-01-06 05:00:00,Manaus,Norte,20.0,27.4,72,0.0,11.9,1000.6,5,11.2,Tempestade,0
2025-01-06 06:00:00,Porto Alegre,Sudeste,29.3,34.4,88,9.2,10.1,1018.2,10,13.3,Parcialmente nublado,1
2025-01-06 07:00:00,Manaus,Sudeste,29.2,19.0,87,2.3,17.2,1009.6,10,7.9,Nublado,0
2025-01-06 08:00:00,Porto Alegre,Sudeste,21.5,25.1,61,1.3,10.8,1001.6,0,6.6,Parcialmente nublado,0
2025-01-06 09:00:00,Porto Alegre,Sul,13.4,26.2,43,0.2,13.2,1003.4,1,8.1,Chuva leve,1
2025-01-06 10:00:00,São Paulo,Norte,23.2,30.8,48,1.2,3.4,1027.7,0,7.8,Ensolarado,1
2025-01-06 11:00:00,Porto Alegre,Sudeste,27.2,30.0,42,0.2,14.1,1017.8,3,9.2,Ensolarado,1
2025-01-06 12:00:00,Manaus,Norte,24.9,17.0,80,3.8,9.1,1011.6,8,12.0,Neblina,0
2025-01-06 13:00:00,Porto Alegre,Sudeste,25.4,31.5,80,0.8,5.9,1002.0,8,8.8,Ensolarado,0
2025-01-06 14:00:00,São Paulo,Sudeste,26.7,27.4,73,2.2,7.9,1020.3,5,7.0,Neblina,0
2025-01-06 15:00:00,São Paulo,Norte,22.4,29.9,86,0.6,10.8,1015.4,4,7.6,Neblina,1
2025-01-06 16:00:00,Manaus,Sudeste,18.7,24.8,63,0.2,10.8,1014.0,2,7.6,Tempestade,0
2025-01-06 17:00:00,Belo Horizonte,Norte,28.7,29.5,71,0.5,10.0,1006.6,7,11.3,Chuva leve,0
2025-01-06 18:00:00,Belo Horizonte,Sudeste,20.6,28.6,81,1.0,6.3,1023.8,5,8.7,Parcialmente nublado,0
2025-01-06 19:00:00,Porto Alegre,Norte,19.0,26.5,87,1.9,9.7,1006.9,2,4.6,Ensolarado,1
2025-01-06 20:00:00,Capanema,Sudeste,27.5,33.5,66,0.5,12.5,1013.7,7,9.3,Tempestade,0
2025-01-06 21:00:00,Porto Alegre,Sudeste,19.5,36.2,68,0.2,13.4,1022.5,3,11.6,Ensolarado,0
2025-01-06 22:00:00,Manaus,Sul,20.9,26.8,71,2.8,8.1,1025.0,7,8.7,Chuva leve,0
2025-01-06 23:00:00,Manaus,Norte,32.9,20.5,70,3.7,11.1,1007.9,0,9.3,Ensolarado,0
2025-01-07 00:00:00,Manaus,Sudeste,32.9,29.1,56,2.4,10.0,1002.6,0,8.0,Neblina,1
2025-01-07 01:00:00,Manaus,Sul,31.0,24.0,99,3.0,10.4,1015.5,5,4.9,Ensolarado,1
2025-01-07 02:00:00,Manaus,Norte,28.8,28.3,43,2.7,10.4,1026.7,7,6.4,Nublado,1
2025-01-07 03:00:00,São Paulo,Sudeste,30.8,28.8,49,2.0,16.8,998.2,3,8.3,Ensolarado,0
2025-01-07 04:00:00,Belo Horizonte,Sudeste,34.8,27.7,59,6.6,9.2,1019.3,5,10.3,Tempestade,0
2025-01-07 05:00:00,Manaus,Sudeste,30.5,22.9,94,12.2,5.7,1001.1,10,7.6,Tempestade,0
2025-01-07 06:00:00,Capanema,Norte,26.3,21.2,90,0.2,10.3,1006.1,3,6.2,Tempestade,1
2025-01-07 07:00:00,Capanema,Sul,29.4,22.6,43,2.6,10.9,1013.0,0,6.9,Chuva leve,1
2025-01-07 08:00:00,Capanema,Sudeste,22.7,26.6,50,2.1,10.9,1013.5,11,11.8,Ensolarado,1
2025-01-07 09:00:00,Capanema,Sul,25.7,32.8,75,4.6,6.7,1011.4,7,3.9,Tempestade,1
2025-01-07 10:00:00,São Paulo,Norte,26.0,25.8,68,2.8,7.8,1012.8,5,9.1,Chuva leve,0
2025-01-07 11:00:00,Capanema,Norte,24.3,31.4,80,0.6,12.9,994.7,2,4.8,Ensolarado,1
2025-01-07 12:00:00,Manaus,Sudeste,23.4,19.3,77,0.3,10.1,1019.7,8,9.7,Ensolarado,0
2025-01-07 13:00:00,Porto Alegre,Sudeste,31.4,28.9,50,0.8,11.3,1006.2,7,7.7,Chuva leve,0
2025-01-07 14:00:00,Capanema,Sudeste,20.2,33.5,86,3.3,10.3,1040.8,1,9.7,Nublado,0
2025-01-07 15:00:00,São Paulo,Sul,25.7,23.4,92,1.4,12.3,1019.2,5,11.6,Ensolarado,0
2025-01-07 16:00:00,São Paulo,Sul,18.6,26.3,49,2.4,9.8,1008.7,4,11.5,Tempestade,1
2025-01-07 17:00:00,Capanema,Sudeste,15.0,27.6,57,1.3,10.4,1023.9,0,7.8,Chuva leve,1
2025-01-07 18:00:00,Porto Alegre,Norte,31.0,29.9,73,4.0,9.0,1008.4,3,7.0,Ensolarado,0
2025-01-07 19:00:00,Capanema,Norte,31.4,22.5,42,1.1,5.3,1026.6,3,5.4,Ensolarado,1
2025-01-07 20:00:00,São Paulo,Sudeste,22.6,22.1,53,0.5,12.8,1021.3,9,8.1,Ensolarado,1
2025-01-07 21:00:00,Belo Horizonte,Sul,25.3,29.7,81,5.5,4.7,998.5,6,9.9,Tempestade,1
2025-01-07 22:00:00,Manaus,Norte,23.6,29.1,95,1.0,15.5,1007.3,4,8.5,Chuva leve,1
2025-01-07 23:00:00,São Paulo,Sul,23.6,23.1,60,1.0,3.2,1032.7,6,9.0,Neblina,1
2025-01-08 00:00:00,Capanema,Sudeste,22.6,29.5,91,1.7,5.7,1015.9,7,11.0,Ensolarado,0
2025-01-08 01:00:00,Manaus,Sul,27.3,26.5,57,0.1,11.4,1011.5,4,9.8,Neblina,0
2025-01-08 02:00:00,Capanema,Sul,23.1,23.4,41,0.3,10.6,1009.0,11,5.3,Neblina,1
2025-01-08 03:00:00,Capanema,Sul,27.1,23.7,47,6.9,10.2,1016.3,8,6.5,Ensolarado,1
2025-01-08 04:00:00,Belo Horizonte,Norte,33.3,25.8,74,2.7,9.8,1019.8,2,7.4,Ensolarado,1
2025-01-08 05:00:00,Manaus,Sul,26.9,38.4,69,0.5,10.8,1001.9,1,10.0,Tempestade,1
2025-01-08 06:00:00,Manaus,Sul,25.6,27.9,46,0.7,14.3,1004.4,4,7.6,Nublado,1
2025-01-08 07:00:00,Belo Horizonte,Sul,22.1,23.7,40,0.1,12.7,1019.1,6,5.8,Tempestade,1
2025-01-08 08:00:00,São Paulo,Sudeste,24.9,23.8,46,0.6,10.6,1012.5,2,7.9,Neblina,1
2025-01-08 09:00:00,Capanema,Sul,16.6,29.5,88,3.0,11.1,1017.3,8,11.8,Tempestade,1
2025-01-08 10:00:00,Porto Alegre,Sul,32.7,26.7,94,2.6,7.9,1010.7,7,4.3,Nublado,1
2025-01-08 11:00:00,Capanema,Norte,20.2,26.8,63,0.5,10.5,998.9,8,4.9,Tempestade,1
2025-01-08 12:00:00,Capanema,Sudeste,15.4,25.2,72,2.2,17.6,1001.4,10,8.8,Ensolarado,0
2025-01-08 13:00:00,São Paulo,Sul,24.5,22.2,45,0.0,10.9,996.1,2,9.6,Chuva leve,1
2025-01-08 14:00:00,Capanema,Norte,26.8,27.4,79,7.3,10.1,1025.1,2,5.7,Ensolarado,0
2025-01-08 15:00:00,Belo Horizonte,Norte,31.6,35.3,48,0.5,5.2,1004.1,7,8.0,Ensolarado,0
2025-01-08 16:00:00,Belo Horizonte,Sul,26.2,26.5,60,0.5,7.3,1017.2,8,9.3,Ensolarado,0
2025-01-08 17:00:00,Manaus,Norte,29.6,26.6,49,3.0,12.6,1007.8,6,11.6,Parcialmente nublado,1
2025-01-08 18:00:00,Porto Alegre,Norte,29.6,29.4,70,1.1,7.2,1003.8,2,11.5,Nublado,1
2025-01-08 19:00:00,Capanema,Norte,29.2,27.0,85,2.1,4.2,1015.0,8,8.4,Neblina,0
2025-01-08 20:00:00,Capanema,Norte,19.3,23.5,96,0.9,13.2,1023.4,6,9.4,Neblina,0
2025-01-08 21:00:00,São Paulo,Sul,27.6,25.1,43,0.5,11.4,998.5,10,10.4,Chuva leve,0
2025-01-08 22:00:00,Belo Horizonte,Sul,18.1,24.8,53,1.8,10.3,990.2,6,6.7,Parcialmente nublado,1
2025-01-08 23:00:00,Porto Alegre,Norte,35.0,30.3,93,2.4,5.1,981.9,6,6.8,Parcialmente nublado,0
2025-01-09 00:00:00,Manaus,Sul,28.5,24.5,79,1.7,6.8,1019.2,11,5.8,Nublado,1
2025-01-09 01:00:00,Belo Horizonte,Sul,21.9,22.4,66,0.1,9.0,1017.6,0,3.8,Ensolarado,0
2025-01-09 02:00:00,Manaus,Norte,26.9,31.6,45,3.5,12.7,1024.9,5,7.6,Nublado,1
2025-01-09 03:00:00,São Paulo,Norte,19.9,30.5,81,0.9,10.0,1025.5,1,8.0,Ensolarado,0
2025-01-09 04:00:00,São Paulo,Norte,17.2,28.2,85,1.8,9.7,1005.3,9,7.8,Nublado,0
2025-01-09 05:00:00,Capanema,Sul,29.4,24.2,54,0.3,7.7,1017.5,6,7.4,Tempestade,0
2025-01-09 06:00:00,Porto Alegre,Sul,20.1,17.0,69,0.7,2.9,999.6,10,7.6,Neblina,0
2025-01-09 07:00:00,Manaus,Sudeste,24.1,35.9,55,1.1,11.2,990.8,10,8.9,Tempestade,1
2025-01-09 08:00:00,Belo Horizonte,Sudeste,26.0,36.3,71,0.7,11.3,1000.3,9,6.7,Nublado,1
2025-01-09 09:00:00,São Paulo,Norte,24.1,27.6,44,0.4,7.4,1004.8,4,8.0,Parcialmente nublado,0
2025-01-09 10:00:00,Capanema,Sudeste,19.9,27.7,82,0.9,5.4,1012.8,10,6.6,Tempestade,1
2025-01-09 11:00:00,Capanema,Sul,25.3,23.9,76,3.5,12.4,998.5,0,8.2,Chuva leve,1
2025-01-09 12:00:00,Manaus,Sudeste,25.7,17.8,85,0.3,9.6,1023.8,8,7.0,Neblina,0
2025-01-09 13:00:00,São Paulo,Sudeste,29.4,26.0,97,1.1,7.6,1021.1,3,8.0,Neblina,1
2025-01-09 14:00:00,Porto Alegre,Norte,37.2,18.7,48,1.2,9.1,1018.8,3,9.2,Ensolarado,1
2025-01-09 15:00:00,São Paulo,Sul,15.1,30.1,63,2.4,10.0,999.9,7,8.0,Ensolarado,1
2025-01-09 16:00:00,Manaus,Sul,21.0,28.4,68,7.8,9.0,1014.2,3,5.9,Neblina,1
2025-01-09 17:00:00,Manaus,Sul,26.1,23.7,57,0.1,8.8,1011.3,1,7.8,Chuva leve,1
2025-01-09 18:00:00,São Paulo,Sul,30.1,30.2,42,0.9,15.9,1030.9,0,9.9,Chuva leve,0
2025-01-09 19:00:00,Manaus,Sudeste,26.7,31.7,61,0.4,18.6,1010.5,8,3.2,Neblina,1
2025-01-09 20:00:00,São Paulo,Norte,30.6,27.1,81,0.2,9.0,1006.7,7,8.3,Tempestade,1
2025-01-09 21:00:00,Belo Horizonte,Sudeste,17.6,26.1,53,13.2,6.4,1012.9,5,7.4,Parcialmente nublado,0
2025-01-09 22:00:00,São Paulo,Sul,23.4,26.7,59,13.8,9.6,1011.7,5,7.8,Parcialmente nublado,1
2025-01-09 23:00:00,São Paulo,Norte,32.3,34.2,88,1.2,12.6,1012.1,5,10.4,Neblina,0
2025-01-10 00:00:00,Manaus,Norte,20.7,27.3,59,0.7,9.0,991.1,3,11.3,Tempestade,1
2025-01-10 01:00:00,Manaus,Sul,10.5,29.3,81,1.5,8.6,1007.2,5,8.6,Neblina,0
2025-01-10 02:00:00,Capanema,Sul,20.9,34.8,77,12.7,10.4,1004.6,6,5.9,Ensolarado,1
2025-01-10 03:00:00,Capanema,Norte,27.2,23.1,78,1.0,7.4,1009.0,0,6.9,Ensolarado,1
2025-01-10 04:00:00,Belo Horizonte,Sul,24.6,15.3,76,2.3,11.1,1018.2,6,11.3,Ensolarado,0
2025-01-10 05:00:00,Capanema,Sul,18.6,27.4,43,2.3,10.0,996.1,5,5.2,Ensolarado,0
2025-01-10 06:00:00,São Paulo,Sul,21.4,29.8,47,3.5,8.4,1012.4,3,9.0,Neblina,1
2025-01-10 07:00:00,Manaus,Sul,18.3,23.6,88,0.6,10.0,1017.4,1,6.0,Chuva leve,1
2025-01-10 08:00:00,Capanema,Norte,18.9,29.0,70,1.2,8.1,1020.2,2,8.8,Nublado,0
