cidade;pais_code;estado_code;estado;pais
Zamtō Kêlay;AF;23;Kandahar;Afghanistan
Yangī Qal‘ah;AF;26;Takhar;Afghanistan
Bāzār-e Yakāwlang;AF;05;Bamyan;Afghanistan
Yaḩyá Khēl;AF;29;Paktika;Afghanistan
Wāshēr;AF;10;Helmand;Afghanistan
Tōrmay;AF;08;Ghazni;Afghanistan
Tūlak;AF;09;Ghowr;Afghanistan
Tītān;AF;09;Ghowr;Afghanistan
Tīr Pul;AF;11;Herat;Afghanistan
Taywarah;AF;09;Ghowr;Afghanistan
Bāzār-e Tashkān;AF;01;Badakhshan;Afghanistan
Tarinkot;AF;39;Oruzgan;Afghanistan
Taloqan;AF;26;Takhar;Afghanistan
Tagāw-Bāy;AF;33;Sar-e Pol Province;Afghanistan
Tagāb;AF;14;Kapisa;Afghanistan
Markaz-e Ḩukūmat-e Sulţān-e Bakwāh;AF;06;Farah;Afghanistan
Spīn Bōldak;AF;23;Kandahar;Afghanistan
Spērah;AF;37;Khowst;Afghanistan
Sōzmah Qal‘ah;AF;33;Sar-e Pol Province;Afghanistan
Siyāhgird;AF;40;Parwan;Afghanistan
S̲h̲ēwah;AF;18;Nangarhar;Afghanistan
Shīnḏanḏ;AF;11;Herat;Afghanistan
Shaykh Amīr Kêlay;AF;37;Khowst;Afghanistan
Qāshqāl;AF;40;Parwan;Afghanistan
Shibirghān;AF;31;Jowzjan;Afghanistan
Shwāk;AF;36;Paktia;Afghanistan
Shahr-e Şafā;AF;28;Zabul;Afghanistan
Shahrān;AF;01;Badakhshan;Afghanistan
Shahrak;AF;09;Ghowr;Afghanistan
‘Alāqahdārī Shāh Jōy;AF;28;Zabul;Afghanistan
Wulêswālī Sayyid Karam;AF;36;Paktia;Afghanistan
Markaz-e Sayyidābād;AF;27;Maidan Wardak Province;Afghanistan
Şayād;AF;33;Sar-e Pol Province;Afghanistan
Sidqābād;AF;14;Kapisa;Afghanistan
Sāyagaz;AF;28;Zabul;Afghanistan
Sar-e Tayghān;AF;41;Daykundi;Afghanistan
Sarōbī;AF;13;Kabul;Afghanistan
Sar Kāṉī;AF;34;Kunar;Afghanistan
Sarfirāz Kalā;AF;08;Ghazni;Afghanistan
Sar-e Pul;AF;33;Sar-e Pol Province;Afghanistan
Sar Chakān;AF;07;Faryab;Afghanistan
Sangīn;AF;10;Helmand;Afghanistan
Sang-e Māshah;AF;08;Ghazni;Afghanistan
Sang-e Chārak;AF;33;Sar-e Pol Province;Afghanistan
Sang Atesh;AF;02;Badghis;Afghanistan
Sangar Sarāy;AF;18;Nangarhar;Afghanistan
Aībak;AF;32;Samangan;Afghanistan
Rū-ye Sang;AF;05;Bamyan;Afghanistan
Rūdbār;AF;19;Nimroz;Afghanistan
Rustāq;AF;26;Takhar;Afghanistan
Rabāţ-e Sangī-ye Pā’īn;AF;11;Herat;Afghanistan
Rāmak;AF;08;Ghazni;Afghanistan
Qurghān;AF;07;Faryab;Afghanistan
Quchanghī;AF;41;Daykundi;Afghanistan
Qaīşār;AF;07;Faryab;Afghanistan
Qarqīn;AF;31;Jowzjan;Afghanistan
Qarghah’ī;AF;35;Laghman;Afghanistan
Qarchī Gak;AF;30;Balkh;Afghanistan
Qarāwul;AF;24;Kunduz;Afghanistan
Qarah Bāgh;AF;11;Herat;Afghanistan
Qarah Bāgh;AF;08;Ghazni;Afghanistan
Qala i Naw;AF;02;Badghis;Afghanistan
Qal‘ah-ye Kūf;AF;01;Badakhshan;Afghanistan
Qal‘ah-ye Kuhnah;AF;06;Farah;Afghanistan
Qal‘ah-ye Shahr;AF;33;Sar-e Pol Province;Afghanistan
Qalāt;AF;28;Zabul;Afghanistan
Qal‘ah-ye Shāhī;AF;18;Nangarhar;Afghanistan
Qādis;AF;02;Badghis;Afghanistan
Pārūn;AF;38;Nuristan;Afghanistan
Pul-e Khumrī;AF;03;Baghlan;Afghanistan
Pul-e ‘Alam;AF;17;Logar;Afghanistan
Pasnay;AF;33;Sar-e Pol Province;Afghanistan
Pāshmūl;AF;23;Kandahar;Afghanistan
Pasāband;AF;09;Ghowr;Afghanistan
Panjāb;AF;05;Bamyan;Afghanistan
Paghmān;AF;13;Kabul;Afghanistan
Ōmnah;AF;29;Paktika;Afghanistan
Ōbêh;AF;11;Herat;Afghanistan
Uruzgān;AF;39;Oruzgan;Afghanistan
Urgun;AF;29;Paktika;Afghanistan
Nūsay;AF;01;Badakhshan;Afghanistan
Nūrgal;AF;34;Kunar;Afghanistan
Now Zād;AF;10;Helmand;Afghanistan
Nīlī;AF;41;Daykundi;Afghanistan
Nayak;AF;05;Bamyan;Afghanistan
Nāyak;AF;28;Zabul;Afghanistan
Now Dahānak;AF;42;Panjshir;Afghanistan
Ōkak;AF;08;Ghazni;Afghanistan
Nāṟay;AF;34;Kunar;Afghanistan
Narang;AF;34;Kunar;Afghanistan
Nīkêh;AF;29;Paktika;Afghanistan
Nahrīn;AF;03;Baghlan;Afghanistan
Ḩukūmat-e Nād ‘Alī;AF;10;Helmand;Afghanistan
Mūsá Qal‘ah;AF;10;Helmand;Afghanistan
Bala Murghab;AF;02;Badghis;Afghanistan
Muqêr;AF;08;Ghazni;Afghanistan
Muḩammad Āghah Wuluswālī;AF;17;Logar;Afghanistan
Mīzān ‘Alāqahdārī;AF;28;Zabul;Afghanistan
Mīr Bachah Kōṯ;AF;13;Kabul;Afghanistan
Mīrān;AF;27;Maidan Wardak Province;Afghanistan
Mīrābād;AF;19;Nimroz;Afghanistan
Maymana;AF;07;Faryab;Afghanistan
Maīdān Khūlah;AF;36;Paktia;Afghanistan
Mingajik;AF;31;Jowzjan;Afghanistan
Mehtar Lām;AF;35;Laghman;Afghanistan
Mazār-e Sharīf;AF;30;Balkh;Afghanistan
Māymay;AF;01;Badakhshan;Afghanistan
Mutā Khān;AF;29;Paktika;Afghanistan
Mashhad;AF;01;Badakhshan;Afghanistan
Mardīān;AF;31;Jowzjan;Afghanistan
Mandōl;AF;38;Nuristan;Afghanistan
Māmā Khēl;AF;18;Nangarhar;Afghanistan
Lashkar Gāh;AF;10;Helmand;Afghanistan
Lāsh-e Juwayn;AF;06;Farah;Afghanistan
Larkird;AF;33;Sar-e Pol Province;Afghanistan
La‘l;AF;09;Ghowr;Afghanistan
Kushk;AF;11;Herat;Afghanistan
Rāẕay Balochi;AF;19;Nimroz;Afghanistan
Kōṯowāl;AF;18;Nangarhar;Afghanistan
Kushk-e Kuhnah;AF;11;Herat;Afghanistan
Kuran wa Munjan;AF;01;Badakhshan;Afghanistan
Kunduz;AF;24;Kunduz;Afghanistan
Khōshī;AF;17;Logar;Afghanistan
Khōshāmand;AF;29;Paktika;Afghanistan
Khwājah Ghār;AF;26;Takhar;Afghanistan
Khwājah Dū Kōh;AF;31;Jowzjan;Afghanistan
Deh Khwāhān;AF;01;Badakhshan;Afghanistan
Khulbisāt;AF;37;Khowst;Afghanistan
Khūgyāṉī;AF;23;Kandahar;Afghanistan
Khōst;AF;37;Khowst;Afghanistan
Khulm;AF;30;Balkh;Afghanistan
Khudāydād Khēl;AF;05;Bamyan;Afghanistan
Khinjān;AF;03;Baghlan;Afghanistan
Khinj;AF;42;Panjshir;Afghanistan
Khāsh;AF;19;Nimroz;Afghanistan
Khān Neshīn;AF;10;Helmand;Afghanistan
Khānaqāh;AF;26;Takhar;Afghanistan
Chahār Bāgh;AF;07;Faryab;Afghanistan
Khandūd;AF;01;Badakhshan;Afghanistan
Khānaqāh;AF;31;Jowzjan;Afghanistan
Khanabad;AF;24;Kunduz;Afghanistan
Khamyāb;AF;31;Jowzjan;Afghanistan
Khākirān;AF;28;Zabul;Afghanistan
Kaz̲h̲ah;AF;18;Nangarhar;Afghanistan
Kishk-e Nakhūd;AF;23;Kandahar;Afghanistan
Karukh;AF;11;Herat;Afghanistan
Kanḏay;AF;34;Kunar;Afghanistan
Kandahār;AF;23;Kandahar;Afghanistan
Kalān Deh;AF;27;Maidan Wardak Province;Afghanistan
Kalakān;AF;13;Kabul;Afghanistan
Kalafgān;AF;26;Takhar;Afghanistan
Kajrān;AF;41;Daykundi;Afghanistan
Kā’ī;AF;18;Nangarhar;Afghanistan
Kabul;AF;13;Kabul;Afghanistan
Jurm;AF;01;Badakhshan;Afghanistan
Jawand;AF;02;Badghis;Afghanistan
Jānī Khēl;AF;29;Paktika;Afghanistan
Jalrēz;AF;27;Maidan Wardak Province;Afghanistan
Jalālābād;AF;18;Nangarhar;Afghanistan
Jabal os Saraj;AF;40;Parwan;Afghanistan
Ḩukūmat-e Shīnkaī;AF;28;Zabul;Afghanistan
Herāt;AF;11;Herat;Afghanistan
Ḩājī Khēl;AF;14;Kapisa;Afghanistan
Ḩāfiz̧ Moghul;AF;01;Badakhshan;Afghanistan
Ḩāfiz̧ān;AF;18;Nangarhar;Afghanistan
Guz̄arah;AF;11;Herat;Afghanistan
Gōshtah;AF;18;Nangarhar;Afghanistan
Gōmal Kêlay;AF;29;Paktika;Afghanistan
‘Alāqahdārī Gēlān;AF;08;Ghazni;Afghanistan
Ghōriyān;AF;11;Herat;Afghanistan
Ghormach;AF;02;Badghis;Afghanistan
Ghurayd Gharamē;AF;01;Badakhshan;Afghanistan
Ghazni;AF;08;Ghazni;Afghanistan
Gereshk;AF;10;Helmand;Afghanistan
Gardez;AF;36;Paktia;Afghanistan
Fayzabad;AF;01;Badakhshan;Afghanistan
Faīẕābād;AF;31;Jowzjan;Afghanistan
Fayẕābād;AF;07;Faryab;Afghanistan
Qal‘ah-ye Fārsī;AF;11;Herat;Afghanistan
Farkhār;AF;26;Takhar;Afghanistan
Farah;AF;06;Farah;Afghanistan
Istālif;AF;13;Kabul;Afghanistan
Eslam Qaleh;AF;11;Herat;Afghanistan
Injīl;AF;11;Herat;Afghanistan
Imām Şāḩib;AF;24;Kunduz;Afghanistan
Dōshī;AF;03;Baghlan;Afghanistan
Dowlatyār;AF;09;Ghowr;Afghanistan
Dowlat Shāh;AF;35;Laghman;Afghanistan
Dowlatābād;AF;30;Balkh;Afghanistan
Dowlatābād;AF;07;Faryab;Afghanistan
Dū Qal‘ah;AF;06;Farah;Afghanistan
Dūāb;AF;32;Samangan;Afghanistan
Dê Nārkhēl Kêlay;AF;23;Kandahar;Afghanistan
Dehī;AF;32;Samangan;Afghanistan
Deh-e Şalāḩ;AF;03;Baghlan;Afghanistan
Deh-e Now;AF;13;Kabul;Afghanistan
Dehdādī;AF;30;Balkh;Afghanistan
Dwah Manḏay;AF;37;Khowst;Afghanistan
Dasht-e Qal‘ah;AF;26;Takhar;Afghanistan
Dasht-e Qal‘ah;AF;06;Farah;Afghanistan
Dasht-e Archī;AF;24;Kunduz;Afghanistan
Darzāb;AF;31;Jowzjan;Afghanistan
Markaz-e Ḩukūmat-e Darwēshān;AF;10;Helmand;Afghanistan
Darqad;AF;26;Takhar;Afghanistan
Darāyim;AF;01;Badakhshan;Afghanistan
Dāngām;AF;34;Kunar;Afghanistan
Ḏanḏar;AF;40;Parwan;Afghanistan
Ḩukūmatī Dahanah-ye Ghōrī;AF;03;Baghlan;Afghanistan
Tsowkêy;AF;34;Kunar;Afghanistan
Chīras;AF;33;Sar-e Pol Province;Afghanistan
Chisht-e Sharīf;AF;11;Herat;Afghanistan
Chinār;AF;23;Kandahar;Afghanistan
Chimtāl;AF;30;Balkh;Afghanistan
Charkh;AF;17;Logar;Afghanistan
Charikar;AF;40;Parwan;Afghanistan
Dowr-e Rabāţ;AF;24;Kunduz;Afghanistan
Tsapêraī;AF;36;Paktia;Afghanistan
Tsamkanī;AF;36;Paktia;Afghanistan
Chakaray;AF;13;Kabul;Afghanistan
Chākarān;AF;01;Badakhshan;Afghanistan
Chahār Qal‘ah;AF;08;Ghazni;Afghanistan
Chahār Burj;AF;11;Herat;Afghanistan
Chāh Āb;AF;26;Takhar;Afghanistan
Fayrōz Kōh;AF;09;Ghowr;Afghanistan
Bulōlah;AF;05;Bamyan;Afghanistan
Bal Chirāgh;AF;07;Faryab;Afghanistan
Bāzār-e Tālah;AF;03;Baghlan;Afghanistan
Muhmand Dara;AF;18;Nangarhar;Afghanistan
Būrkah;AF;03;Baghlan;Afghanistan
Barg-e Matāl;AF;38;Nuristan;Afghanistan
Baraki Barak;AF;17;Logar;Afghanistan
Banū;AF;03;Baghlan;Afghanistan
Bāmyān;AF;05;Bamyan;Afghanistan
Balkh;AF;30;Balkh;Afghanistan
Bahārak;AF;01;Badakhshan;Afghanistan
Bagrāmī;AF;13;Kabul;Afghanistan
Baghlān;AF;03;Baghlan;Afghanistan
Ḩukūmatī Azrah;AF;17;Logar;Afghanistan
Ārt Khwājah;AF;26;Takhar;Afghanistan
‘Alāqahdārī Aṯghar;AF;28;Zabul;Afghanistan
Āsmār;AF;34;Kunar;Afghanistan
Ashkāsham;AF;01;Badakhshan;Afghanistan
Asadābād;AF;34;Kunar;Afghanistan
Āqchah;AF;31;Jowzjan;Afghanistan
Andkhōy;AF;07;Faryab;Afghanistan
’Unābah;AF;42;Panjshir;Afghanistan
Anār Darah;AF;06;Farah;Afghanistan
Amānzī;AF;23;Kandahar;Afghanistan
‘Alāqahdārī-ye Almār;AF;07;Faryab;Afghanistan
‘Alī Shēr ‘Alāqahdārī;AF;37;Khowst;Afghanistan
Wuluswālī ‘Alīngār;AF;35;Laghman;Afghanistan
‘Alī Khēl;AF;36;Paktia;Afghanistan
‘Alāqahdārī Yōsuf Khēl;AF;29;Paktika;Afghanistan
‘Alāqahdārī Dīshū;AF;10;Helmand;Afghanistan
Alah Sāy;AF;14;Kapisa;Afghanistan
Pachīr wa Āgām;AF;18;Nangarhar;Afghanistan
Āfāqī;AF;26;Takhar;Afghanistan
Adraskan;AF;11;Herat;Afghanistan
Āb-e Kamarī;AF;02;Badghis;Afghanistan
Khadīr;AF;41;Daykundi;Afghanistan
Ghulām ‘Alī;AF;40;Parwan;Afghanistan
Qarah Bāgh Bāzār;AF;13;Kabul;Afghanistan
Zargarān;AF;13;Kabul;Afghanistan
Surkh Bilandī;AF;13;Kabul;Afghanistan
Pul-e Sangī;AF;13;Kabul;Afghanistan
Langar;AF;32;Samangan;Afghanistan
Bāgh-e Maīdān;AF;40;Parwan;Afghanistan
Ibrāhīm Khān;AF;40;Parwan;Afghanistan
Qaranghū Tōghaī;AF;30;Balkh;Afghanistan
Bāzārak;AF;42;Panjshir;Afghanistan
Shērwānī-ye Bālā;AF;14;Kapisa;Afghanistan
Kirāmān;AF;42;Panjshir;Afghanistan
‘Alāqahdārī Saṟōbī;AF;29;Paktika;Afghanistan
Zīṟūk ‘Alāqahdārī;AF;29;Paktika;Afghanistan
Kushkak;AF;06;Farah;Afghanistan
Khayr Kōṯ;AF;29;Paktika;Afghanistan
Chowṉêy;AF;41;Daykundi;Afghanistan
Wuṯahpūr;AF;34;Kunar;Afghanistan
Karbōṟī;AF;34;Kunar;Afghanistan
Sulţānpūr-e ‘Ulyā;AF;18;Nangarhar;Afghanistan
Bābā Şāḩib;AF;23;Kandahar;Afghanistan
Chandal Bā’ī;AF;13;Kabul;Afghanistan
Dahan-e Jarf;AF;40;Parwan;Afghanistan
Maydanshakhr;AF;27;Maidan Wardak Province;Afghanistan
Dū Laīnah;AF;09;Ghowr;Afghanistan
Qaram Qōl;AF;07;Faryab;Afghanistan
Pul-e Ḩişār;AF;03;Baghlan;Afghanistan
Lab-Sar;AF;30;Balkh;Afghanistan
Ţāqchah Khānah;AF;26;Takhar;Afghanistan
March;AF;01;Badakhshan;Afghanistan
Zīrakī;AF;01;Badakhshan;Afghanistan
‘Alīābād;AF;24;Kunduz;Afghanistan
Pas Pul;AF;01;Badakhshan;Afghanistan
Qal‘ah-ye Na‘īm;AF;13;Kabul;Afghanistan
Markaz-e Woluswalī-ye Āchīn;AF;18;Nangarhar;Afghanistan
Māṉōgay;AF;34;Kunar;Afghanistan
Stêr Giyān;AF;29;Paktika;Afghanistan
Sharan;AF;29;Paktika;Afghanistan
Salām Khēl;AF;36;Paktia;Afghanistan
Mazad;AF;19;Nimroz;Afghanistan
Saint John’s;AG;04;Saint John Parish;Antigua and Barbuda
Potters Village;AG;04;Saint John Parish;Antigua and Barbuda
Piggotts;AG;03;Saint George Parish;Antigua and Barbuda
Parham;AG;07;Saint Peter Parish;Antigua and Barbuda
Liberta;AG;06;Saint Paul Parish;Antigua and Barbuda
Falmouth;AG;06;Saint Paul Parish;Antigua and Barbuda
Codrington;AG;01;Barbuda;Antigua and Barbuda
Bolands;AG;05;Saint Mary Parish;Antigua and Barbuda
All Saints;AG;07;Saint Peter Parish;Antigua and Barbuda
West End Village;AI;11205437;West End;Anguilla
The Valley;AI;11205396;The Valley;Anguilla
The Quarter;AI;11205439;The Quarter;Anguilla
Farrington;AI;11205444;The Farrington;Anguilla
Stoney Ground;AI;11205443;Stoney Ground;Anguilla
South Hill Village;AI;11205438;South Hill;Anguilla
Sandy Ground Village;AI;11205392;Sandy Ground;Anguilla
North Side;AI;11205440;North Side;Anguilla
North Hill Village;AI;11205436;North Hill;Anguilla
Island Harbour;AI;11205441;Island Harbour;Anguilla
George Hill;AI;11205442;George Hill;Anguilla
East End Village;AI;11205433;East End;Anguilla
Blowing Point Village;AI;11205389;Blowing Point;Anguilla
Sandy Hill;AI;11205393;Sandy Hill;Anguilla
Xarrë;AL;51;Vlorë County;Albania
Sarandë;AL;51;Vlorë County;Albania
Mesopotam;AL;51;Vlorë County;Albania
Markat;AL;51;Vlorë County;Albania
Livadhja;AL;51;Vlorë County;Albania
Konispol;AL;51;Vlorë County;Albania
Kakavijë;AL;45;Gjirokastër County;Albania
Finiq;AL;51;Vlorë County;Albania
Dhivër;AL;51;Vlorë County;Albania
Delvinë;AL;51;Vlorë County;Albania
Aliko;AL;51;Vlorë County;Albania
Buçimas;AL;46;Korçë County;Albania
Zerqan;AL;41;Dibër County;Albania
Zavalinë;AL;43;Elbasan County;Albania
Zapod;AL;47;Kukës County;Albania
Zall-Reç;AL;41;Dibër County;Albania
Zall-Dardhë;AL;41;Dibër County;Albania
Xibër-Murrizë;AL;41;Dibër County;Albania
Vreshtas;AL;46;Korçë County;Albania
Voskopojë;AL;46;Korçë County;Albania
Voskop;AL;46;Korçë County;Albania
Vithkuq;AL;46;Korçë County;Albania
Vithkuq;AL;45;Gjirokastër County;Albania
Vërtop;AL;40;Berat County;Albania
Vergo;AL;51;Vlorë County;Albania
Vendresha e Vogël;AL;40;Berat County;Albania
Velçan;AL;46;Korçë County;Albania
Ujmisht;AL;47;Kukës County;Albania
Udënisht;AL;46;Korçë County;Albania
Tunjë;AL;43;Elbasan County;Albania
Tregan;AL;43;Elbasan County;Albania
Trebisht-Muçinë;AL;41;Dibër County;Albania
Trebinjë;AL;46;Korçë County;Albania
Topojan;AL;45;Gjirokastër County;Albania
Tomin;AL;41;Dibër County;Albania
Tepelenë;AL;45;Gjirokastër County;Albania
Surroj;AL;47;Kukës County;Albania
Sult;AL;43;Elbasan County;Albania
Sukë;AL;45;Gjirokastër County;Albania
Suç;AL;41;Dibër County;Albania
Stravaj;AL;43;Elbasan County;Albania
Steblevë;AL;43;Elbasan County;Albania
Sllovë;AL;41;Dibër County;Albania
Skore;AL;45;Gjirokastër County;Albania
Skënderbegas;AL;43;Elbasan County;Albania
Shushicë;AL;43;Elbasan County;Albania
Shupenzë;AL;41;Dibër County;Albania
Shtiqën;AL;47;Kukës County;Albania
Shishtavec;AL;47;Kukës County;Albania
Shirgjan;AL;43;Elbasan County;Albania
Shëngjin;AL;48;Lezhë County;Albania
Shënmëri;AL;47;Kukës County;Albania
Selishtë;AL;41;Dibër County;Albania
Saraqinishtë;AL;45;Gjirokastër County;Albania
Rukaj;AL;41;Dibër County;Albania
Rajcë;AL;43;Elbasan County;Albania
Roshnik Qender;AL;40;Berat County;Albania
Qukës-Skënderbe;AL;43;Elbasan County;Albania
Qestorat;AL;45;Gjirokastër County;Albania
Qereshnik;AL;40;Berat County;Albania
Qafëmal;AL;49;Shkodër County;Albania
Përrenjas-Fshat;AL;43;Elbasan County;Albania
Përrenjas;AL;43;Elbasan County;Albania
Proptisht;AL;46;Korçë County;Albania
Progër;AL;46;Korçë County;Albania
Potom;AL;40;Berat County;Albania
Poroçan;AL;43;Elbasan County;Albania
Polis-Gostimë;AL;43;Elbasan County;Albania
Poliçan;AL;40;Berat County;Albania
Pojan;AL;46;Korçë County;Albania
Pogradec;AL;46;Korçë County;Albania
Pishaj;AL;43;Elbasan County;Albania
Pirg;AL;46;Korçë County;Albania
