cidade;pais_code;estado_code;estado
Shibirghān;AF;31;Jowzjan
Shwāk;AF;36;Paktia
Shahr-e Şafā;AF;28;Zabul
Shahrān;AF;01;Badakhshan
Shahrak;AF;09;Ghowr
‘Alāqahdārī Shāh Jōy;AF;28;Zabul
Wulêswālī Sayyid Karam;AF;36;Paktia
Markaz-e Sayyidābād;AF;27;Maidan Wardak Province
Şayād;AF;33;Sar-e Pol Province
Sidqābād;AF;14;Kapisa
Sāyagaz;AF;28;Zabul
Sar-e Tayghān;AF;41;Daykundi
Sarōbī;AF;13;Kabul
Sar Kāṉī;AF;34;Kunar
Sarfirāz Kalā;AF;08;Ghazni
Sar-e Pul;AF;33;Sar-e Pol Province
Sar Chakān;AF;07;Faryab
Sangīn;AF;10;Helmand
Sang-e Māshah;AF;08;Ghazni
Sang-e Chārak;AF;33;Sar-e Pol Province
Sang Atesh;AF;02;Badghis
Sangar Sarāy;AF;18;Nangarhar
Aībak;AF;32;Samangan
Rū-ye Sang;AF;05;Bamyan
Rūdbār;AF;19;Nimroz
Rustāq;AF;26;Takhar
Rabāţ-e Sangī-ye Pā’īn;AF;11;Herat
Rāmak;AF;08;Ghazni
Qurghān;AF;07;Faryab
Quchanghī;AF;41;Daykundi
Qaīşār;AF;07;Faryab
Qarqīn;AF;31;Jowzjan
Qarghah’ī;AF;35;Laghman
Qarchī Gak;AF;30;Balkh
Qarāwul;AF;24;Kunduz
Qarah Bāgh;AF;11;Herat
Qarah Bāgh;AF;08;Ghazni
Qala i Naw;AF;02;Badghis
Qal‘ah-ye Kūf;AF;01;Badakhshan
Qal‘ah-ye Kuhnah;AF;06;Farah
Qal‘ah-ye Shahr;AF;33;Sar-e Pol Province
Qalāt;AF;28;Zabul
Qal‘ah-ye Shāhī;AF;18;Nangarhar
Qādis;AF;02;Badghis
Pārūn;AF;38;Nuristan
Pul-e Khumrī;AF;03;Baghlan
Pul-e ‘Alam;AF;17;Logar
Pasnay;AF;33;Sar-e Pol Province
Pāshmūl;AF;23;Kandahar
Pasāband;AF;09;Ghowr
Panjāb;AF;05;Bamyan
Paghmān;AF;13;Kabul
Ōmnah;AF;29;Paktika
Ōbêh;AF;11;Herat
Uruzgān;AF;39;Oruzgan
Urgun;AF;29;Paktika
Nūsay;AF;01;Badakhshan
Nūrgal;AF;34;Kunar
Now Zād;AF;10;Helmand
Nīlī;AF;41;Daykundi
Nayak;AF;05;Bamyan
Nāyak;AF;28;Zabul
Now Dahānak;AF;42;Panjshir
Ōkak;AF;08;Ghazni
Nāṟay;AF;34;Kunar
Narang;AF;34;Kunar
Nīkêh;AF;29;Paktika
Nahrīn;AF;03;Baghlan
Ḩukūmat-e Nād ‘Alī;AF;10;Helmand
Mūsá Qal‘ah;AF;10;Helmand
Bala Murghab;AF;02;Badghis
Muqêr;AF;08;Ghazni
Muḩammad Āghah Wuluswālī;AF;17;Logar
Mīzān ‘Alāqahdārī;AF;28;Zabul
Mīr Bachah Kōṯ;AF;13;Kabul
Mīrān;AF;27;Maidan Wardak Province
Mīrābād;AF;19;Nimroz
Maymana;AF;07;Faryab
Maīdān Khūlah;AF;36;Paktia
Mingajik;AF;31;Jowzjan
Mehtar Lām;AF;35;Laghman
Mazār-e Sharīf;AF;30;Balkh
Māymay;AF;01;Badakhshan
Mutā Khān;AF;29;Paktika
Mashhad;AF;01;Badakhshan
Mardīān;AF;31;Jowzjan
Mandōl;AF;38;Nuristan
Māmā Khēl;AF;18;Nangarhar
Lashkar Gāh;AF;10;Helmand
Lāsh-e Juwayn;AF;06;Farah
Larkird;AF;33;Sar-e Pol Province
La‘l;AF;09;Ghowr
Kushk;AF;11;Herat
Rāẕay Balochi;AF;19;Nimroz
Kōṯowāl;AF;18;Nangarhar
Kushk-e Kuhnah;AF;11;Herat
Kuran wa Munjan;AF;01;Badakhshan
Kunduz;AF;24;Kunduz
Khōshī;AF;17;Logar
Khōshāmand;AF;29;Paktika
Khwājah Ghār;AF;26;Takhar
Khwājah Dū Kōh;AF;31;Jowzjan
Deh Khwāhān;AF;01;Badakhshan
Khulbisāt;AF;37;Khowst
Khūgyāṉī;AF;23;Kandahar
Khōst;AF;37;Khowst
Khulm;AF;30;Balkh
Khudāydād Khēl;AF;05;Bamyan
Khinjān;AF;03;Baghlan
Khinj;AF;42;Panjshir
Khāsh;AF;19;Nimroz
Khān Neshīn;AF;10;Helmand
Khānaqāh;AF;26;Takhar
Chahār Bāgh;AF;07;Faryab
Khandūd;AF;01;Badakhshan
Khānaqāh;AF;31;Jowzjan
Khanabad;AF;24;Kunduz
Khamyāb;AF;31;Jowzjan
Khākirān;AF;28;Zabul
Kaz̲h̲ah;AF;18;Nangarhar
Kishk-e Nakhūd;AF;23;Kandahar
Karukh;AF;11;Herat
Kanḏay;AF;34;Kunar
Kandahār;AF;23;Kandahar
Kalān Deh;AF;27;Maidan Wardak Province
Kalakān;AF;13;Kabul
Kalafgān;AF;26;Takhar
Kajrān;AF;41;Daykundi
Kā’ī;AF;18;Nangarhar
Kabul;AF;13;Kabul
Jurm;AF;01;Badakhshan
Jawand;AF;02;Badghis
Jānī Khēl;AF;29;Paktika
Jalrēz;AF;27;Maidan Wardak Province
Jalālābād;AF;18;Nangarhar
Jabal os Saraj;AF;40;Parwan
Ḩukūmat-e Shīnkaī;AF;28;Zabul
Herāt;AF;11;Herat
Ḩājī Khēl;AF;14;Kapisa
Ḩāfiz̧ Moghul;AF;01;Badakhshan
Ḩāfiz̧ān;AF;18;Nangarhar
Guz̄arah;AF;11;Herat
Gōshtah;AF;18;Nangarhar
Gōmal Kêlay;AF;29;Paktika
‘Alāqahdārī Gēlān;AF;08;Ghazni
Ghōriyān;AF;11;Herat
Ghormach;AF;02;Badghis
Ghurayd Gharamē;AF;01;Badakhshan
Ghazni;AF;08;Ghazni
Gereshk;AF;10;Helmand
Gardez;AF;36;Paktia
Fayzabad;AF;01;Badakhshan
Faīẕābād;AF;31;Jowzjan
Fayẕābād;AF;07;Faryab
Qal‘ah-ye Fārsī;AF;11;Herat
Farkhār;AF;26;Takhar
Farah;AF;06;Farah
Istālif;AF;13;Kabul
Eslam Qaleh;AF;11;Herat
Injīl;AF;11;Herat
Imām Şāḩib;AF;24;Kunduz
Dōshī;AF;03;Baghlan
Dowlatyār;AF;09;Ghowr
Dowlat Shāh;AF;35;Laghman
Dowlatābād;AF;30;Balkh
Dowlatābād;AF;07;Faryab
Dū Qal‘ah;AF;06;Farah
Dūāb;AF;32;Samangan
Dê Nārkhēl Kêlay;AF;23;Kandahar
Dehī;AF;32;Samangan
Deh-e Şalāḩ;AF;03;Baghlan
Deh-e Now;AF;13;Kabul
Dehdādī;AF;30;Balkh
Dwah Manḏay;AF;37;Khowst
Dasht-e Qal‘ah;AF;26;Takhar
Dasht-e Qal‘ah;AF;06;Farah
Dasht-e Archī;AF;24;Kunduz
Darzāb;AF;31;Jowzjan
Markaz-e Ḩukūmat-e Darwēshān;AF;10;Helmand
Darqad;AF;26;Takhar
Darāyim;AF;01;Badakhshan
Dāngām;AF;34;Kunar
Ḏanḏar;AF;40;Parwan
Ḩukūmatī Dahanah-ye Ghōrī;AF;03;Baghlan
Tsowkêy;AF;34;Kunar
Chīras;AF;33;Sar-e Pol Province
Chisht-e Sharīf;AF;11;Herat
Chinār;AF;23;Kandahar
Chimtāl;AF;30;Balkh
Charkh;AF;17;Logar
Charikar;AF;40;Parwan
Dowr-e Rabāţ;AF;24;Kunduz
Tsapêraī;AF;36;Paktia
Tsamkanī;AF;36;Paktia
Chakaray;AF;13;Kabul
Chākarān;AF;01;Badakhshan
Chahār Qal‘ah;AF;08;Ghazni
Chahār Burj;AF;11;Herat
Chāh Āb;AF;26;Takhar
Fayrōz Kōh;AF;09;Ghowr
Bulōlah;AF;05;Bamyan
Bal Chirāgh;AF;07;Faryab
Bāzār-e Tālah;AF;03;Baghlan
Muhmand Dara;AF;18;Nangarhar
Būrkah;AF;03;Baghlan
Barg-e Matāl;AF;38;Nuristan
Baraki Barak;AF;17;Logar
Banū;AF;03;Baghlan
Bāmyān;AF;05;Bamyan
Balkh;AF;30;Balkh
Bahārak;AF;01;Badakhshan
Bagrāmī;AF;13;Kabul
Baghlān;AF;03;Baghlan
Ḩukūmatī Azrah;AF;17;Logar
Ārt Khwājah;AF;26;Takhar
‘Alāqahdārī Aṯghar;AF;28;Zabul
Āsmār;AF;34;Kunar
Ashkāsham;AF;01;Badakhshan
Asadābād;AF;34;Kunar
Āqchah;AF;31;Jowzjan
Andkhōy;AF;07;Faryab
’Unābah;AF;42;Panjshir
Anār Darah;AF;06;Farah
Amānzī;AF;23;Kandahar
‘Alāqahdārī-ye Almār;AF;07;Faryab
‘Alī Shēr ‘Alāqahdārī;AF;37;Khowst
Wuluswālī ‘Alīngār;AF;35;Laghman
‘Alī Khēl;AF;36;Paktia
‘Alāqahdārī Yōsuf Khēl;AF;29;Paktika
‘Alāqahdārī Dīshū;AF;10;Helmand
Alah Sāy;AF;14;Kapisa
Pachīr wa Āgām;AF;18;Nangarhar
Āfāqī;AF;26;Takhar
Adraskan;AF;11;Herat
Āb-e Kamarī;AF;02;Badghis
Khadīr;AF;41;Daykundi
Ghulām ‘Alī;AF;40;Parwan
Qarah Bāgh Bāzār;AF;13;Kabul
Zargarān;AF;13;Kabul
Surkh Bilandī;AF;13;Kabul
Pul-e Sangī;AF;13;Kabul
Langar;AF;32;Samangan
Bāgh-e Maīdān;AF;40;Parwan
Ibrāhīm Khān;AF;40;Parwan
Qaranghū Tōghaī;AF;30;Balkh
Bāzārak;AF;42;Panjshir
Shērwānī-ye Bālā;AF;14;Kapisa
Kirāmān;AF;42;Panjshir
‘Alāqahdārī Saṟōbī;AF;29;Paktika
Zīṟūk ‘Alāqahdārī;AF;29;Paktika
Kushkak;AF;06;Farah
Khayr Kōṯ;AF;29;Paktika
Chowṉêy;AF;41;Daykundi
Wuṯahpūr;AF;34;Kunar
Karbōṟī;AF;34;Kunar
Sulţānpūr-e ‘Ulyā;AF;18;Nangarhar
Bābā Şāḩib;AF;23;Kandahar
Chandal Bā’ī;AF;13;Kabul
Dahan-e Jarf;AF;40;Parwan
Maydanshakhr;AF;27;Maidan Wardak Province
Dū Laīnah;AF;09;Ghowr
Qaram Qōl;AF;07;Faryab
Pul-e Ḩişār;AF;03;Baghlan
Lab-Sar;AF;30;Balkh
Ţāqchah Khānah;AF;26;Takhar
March;AF;01;Badakhshan
Zīrakī;AF;01;Badakhshan
‘Alīābād;AF;24;Kunduz
Pas Pul;AF;01;Badakhshan
Qal‘ah-ye Na‘īm;AF;13;Kabul
Markaz-e Woluswalī-ye Āchīn;AF;18;Nangarhar
Māṉōgay;AF;34;Kunar
Stêr Giyān;AF;29;Paktika
Sharan;AF;29;Paktika
Salām Khēl;AF;36;Paktia
Mazad;AF;19;Nimroz
Saint John’s;AG;04;Saint John Parish
Potters Village;AG;04;Saint John Parish
Piggotts;AG;03;Saint George Parish
Parham;AG;07;Saint Peter Parish
Liberta;AG;06;Saint Paul Parish
Falmouth;AG;06;Saint Paul Parish
Codrington;AG;01;Barbuda
Bolands;AG;05;Saint Mary Parish
All Saints;AG;07;Saint Peter Parish
West End Village;AI;11205437;West End
The Valley;AI;11205396;The Valley
The Quarter;AI;11205439;The Quarter
Farrington;AI;11205444;The Farrington
Stoney Ground;AI;11205443;Stoney Ground
South Hill Village;AI;11205438;South Hill
Sandy Ground Village;AI;11205392;Sandy Ground
North Side;AI;11205440;North Side
North Hill Village;AI;11205436;North Hill
Island Harbour;AI;11205441;Island Harbour
George Hill;AI;11205442;George Hill
East End Village;AI;11205433;East End
Blowing Point Village;AI;11205389;Blowing Point
Sandy Hill;AI;11205393;Sandy Hill
Xarrë;AL;51;Vlorë County
Sarandë;AL;51;Vlorë County
Mesopotam;AL;51;Vlorë County
Markat;AL;51;Vlorë County
Livadhja;AL;51;Vlorë County
Konispol;AL;51;Vlorë County
Kakavijë;AL;45;Gjirokastër County
Finiq;AL;51;Vlorë County
Dhivër;AL;51;Vlorë County
Delvinë;AL;51;Vlorë County
Aliko;AL;51;Vlorë County
Buçimas;AL;46;Korçë County
Zerqan;AL;41;Dibër County
Zavalinë;AL;43;Elbasan County
Zapod;AL;47;Kukës County
Zall-Reç;AL;41;Dibër County
Zall-Dardhë;AL;41;Dibër County
Xibër-Murrizë;AL;41;Dibër County
Vreshtas;AL;46;Korçë County
Voskopojë;AL;46;Korçë County
Voskop;AL;46;Korçë County
Vithkuq;AL;46;Korçë County
Vithkuq;AL;45;Gjirokastër County
Vërtop;AL;40;Berat County
Vergo;AL;51;Vlorë County
Vendresha e Vogël;AL;40;Berat County
Velçan;AL;46;Korçë County
Ujmisht;AL;47;Kukës County
Udënisht;AL;46;Korçë County
Tunjë;AL;43;Elbasan County
Tregan;AL;43;Elbasan County
Trebisht-Muçinë;AL;41;Dibër County
Trebinjë;AL;46;Korçë County
Topojan;AL;45;Gjirokastër County
Tomin;AL;41;Dibër County
Tepelenë;AL;45;Gjirokastër County
Surroj;AL;47;Kukës County
Sult;AL;43;Elbasan County
Sukë;AL;45;Gjirokastër County
Suç;AL;41;Dibër County
Stravaj;AL;43;Elbasan County
Steblevë;AL;43;Elbasan County
Sllovë;AL;41;Dibër County
Skore;AL;45;Gjirokastër County
Skënderbegas;AL;43;Elbasan County
Shushicë;AL;43;Elbasan County
Shupenzë;AL;41;Dibër County
Shtiqën;AL;47;Kukës County
Shishtavec;AL;47;Kukës County
Shirgjan;AL;43;Elbasan County
Shëngjin;AL;48;Lezhë County
Shënmëri;AL;47;Kukës County
Selishtë;AL;41;Dibër County
Saraqinishtë;AL;45;Gjirokastër County
Rukaj;AL;41;Dibër County
Rajcë;AL;43;Elbasan County
Roshnik Qender;AL;40;Berat County
Qukës-Skënderbe;AL;43;Elbasan County
Qestorat;AL;45;Gjirokastër County
Qereshnik;AL;40;Berat County
Qafëmal;AL;49;Shkodër County
Përrenjas-Fshat;AL;43;Elbasan County
Përrenjas;AL;43;Elbasan County
Proptisht;AL;46;Korçë County
Progër;AL;46;Korçë County
Potom;AL;40;Berat County
Poroçan;AL;43;Elbasan County
Polis-Gostimë;AL;43;Elbasan County
Poliçan;AL;40;Berat County
Pojan;AL;46;Korçë County
Pogradec;AL;46;Korçë County
Pishaj;AL;43;Elbasan County
Pirg;AL;46;Korçë County
Gjinkar;AL;45;Gjirokastër County
Petran;AL;45;Gjirokastër County
Peshkopi;AL;41;Dibër County
Përmet;AL;45;Gjirokastër County
Ostreni i Math;AL;41;Dibër County
Orosh;AL;48;Lezhë County
Orenjë;AL;43;Elbasan County
Odrie;AL;45;Gjirokastër County
Novoselë;AL;46;Korçë County
Picar;AL;45;Gjirokastër County
Mollas;AL;43;Elbasan County
Mollas;AL;46;Korçë County
Mollaj;AL;46;Korçë County
Miras;AL;46;Korçë County
Melan;AL;41;Dibër County
Mborje;AL;46;Korçë County
Martanesh;AL;41;Dibër County
Maqellarë;AL;41;Dibër County
Maliq;AL;46;Korçë County
Macukull;AL;41;Dibër County
Lunik;AL;43;Elbasan County
Llugaj;AL;47;Kukës County
Lis;AL;41;Dibër County
Liqenas;AL;46;Korçë County
Librazhd;AL;43;Elbasan County
Libonik;AL;46;Korçë County
Libohovë;AL;45;Gjirokastër County
Leskovik;AL;46;Korçë County
Leshnjë;AL;40;Berat County
Lenias;AL;43;Elbasan County
Lekas;AL;46;Korçë County
Lazarat;AL;45;Gjirokastër County
Labinot-Mal;AL;43;Elbasan County
Labinot-Fushë;AL;43;Elbasan County
Kushovë;AL;43;Elbasan County
Kurbnesh;AL;48;Lezhë County
Kukur;AL;43;Elbasan County
Kukës;AL;47;Kukës County
Kthella e Epërme;AL;48;Lezhë County
Krumë;AL;47;Kukës County
Krastë;AL;41;Dibër County
Korçë;AL;46;Korçë County
Kolsh;AL;47;Kukës County
Kodovjat;AL;43;Elbasan County
Klos;AL;41;Dibër County
Klos;AL;43;Elbasan County
Këlcyrë;AL;45;Gjirokastër County
Kastriot;AL;41;Dibër County
Kardhiq;AL;45;Gjirokastër County
Kalis;AL;47;Kukës County
Iballë;AL;49;Shkodër County
Hotolisht;AL;43;Elbasan County
Hoçisht;AL;46;Korçë County
Gramsh;AL;43;Elbasan County
Gostimë;AL;43;Elbasan County
Golaj;AL;47;Kukës County
Gjorica e Sipërme;AL;41;Dibër County
Gjirokastër;AL;45;Gjirokastër County
Gjinar;AL;43;Elbasan County
Gjinaj;AL;47;Kukës County
Gjergjan;AL;43;Elbasan County
Gjegjan;AL;49;Shkodër County
Fushë-Muhurr;AL;41;Dibër County
Fushë-Lurë;AL;41;Dibër County
Fushë-Çidhnë;AL;41;Dibër County
Fushë-Bulqizë;AL;41;Dibër County
Fushë-Arrëz;AL;49;Shkodër County
Frashër;AL;45;Gjirokastër County
Fierzë;AL;49;Shkodër County
Fajzë;AL;47;Kukës County
Ersekë;AL;46;Korçë County
Elbasan;AL;43;Elbasan County
Drenovë;AL;46;Korçë County
Dishnicë;AL;46;Korçë County
Derjan;AL;41;Dibër County
Gjerbës;AL;40;Berat County
Çorovodë;AL;40;Berat County
Çlirim;AL;46;Korçë County
Cerava;AL;46;Korçë County
Çepan;AL;40;Berat County
Çarshovë;AL;45;Gjirokastër County
Kokaj;AL;47;Kukës County
Buz;AL;45;Gjirokastër County
Bushtricë;AL;47;Kukës County
Burrel;AL;41;Dibër County
Bulqizë;AL;41;Dibër County
Bujan;AL;47;Kukës County
Bradashesh;AL;43;Elbasan County
Blinisht;AL;48;Lezhë County
Blerim;AL;49;Shkodër County
Bilisht;AL;46;Korçë County
Bicaj;AL;47;Kukës County
Dardhas;AL;46;Korçë County
Barmash;AL;46;Korçë County
Ballaban;AL;45;Gjirokastër County
Arrën;AL;47;Kukës County
Arras;AL;41;Dibër County
Bytyç;AL;47;Kukës County
Librazhd-Qendër;AL;43;Elbasan County
Funarë;AL;43;Elbasan County
Moglicë;AL;46;Korçë County
Bogovë;AL;40;Berat County
Piskovë;AL;45;Gjirokastër County
Lukovë;AL;51;Vlorë County
Ksamil;AL;51;Vlorë County
Zharrëz;AL;44;Fier County
Zejmen;AL;48;Lezhë County
Zall-Herr;AL;50;Tirana
Zall-Bastar;AL;50;Tirana
Xhafzotaj;AL;42;Durrës County
Vukatanë;AL;49;Shkodër County
Vranisht;AL;51;Vlorë County
Vorë;AL;50;Tirana
Vlorë;AL;51;Vlorë County
Velipojë;AL;49;Shkodër County
Velabisht;AL;40;Berat County
Vaqarr;AL;50;Tirana
Uznovë;AL;40;Berat County
Ura Vajgurore;AL;40;Berat County
Ungrej;AL;48;Lezhë County
Ulëz;AL;41;Dibër County
Topojë;AL;44;Fier County
Tirana;AL;50;Tirana
Thumanë;AL;42;Durrës County
Tërbuf;AL;44;Fier County
Tapi;AL;40;Berat County
Synej;AL;50;Tirana
Sukth;AL;42;Durrës County
Strum;AL;44;Fier County
Starovë;AL;40;Berat County
Sinjë;AL;40;Berat County
Sinaballaj;AL;50;Tirana
Shkodër;AL;49;Shkodër County
Shijak;AL;42;Durrës County
Shezë;AL;43;Elbasan County
Shënkoll;AL;48;Lezhë County
Shëngjin;AL;48;Lezhë County
Shëngjergj;AL;50;Tirana
Shalës;AL;43;Elbasan County
Nicaj-Shalë;AL;49;Shkodër County
Sevaster;AL;51;Vlorë County
Selitë;AL;48;Lezhë County
Valbonë;AL;47;Kukës County
Selenicë;AL;51;Vlorë County
Samaticë;AL;40;Berat County
Ruzhdie;AL;44;Fier County
Rubik;AL;48;Lezhë County
Rrogozhinë;AL;50;Tirana
Rrëshen;AL;48;Lezhë County
Rrashbull;AL;42;Durrës County
Rrasa e Sipërme;AL;43;Elbasan County
Rrapë;AL;49;Shkodër County
Roskovec;AL;44;Fier County
Remas;AL;44;Fier County
Qerret;AL;49;Shkodër County
Qelëz;AL;49;Shkodër County
Pukë;AL;49;Shkodër County
Progonat;AL;45;Gjirokastër County
Prezë;AL;50;Tirana
Poshnjë;AL;40;Berat County
Portëz;AL;44;Fier County
Pobrat;AL;40;Berat County
Peza e Madhe;AL;50;Tirana
Petrelë;AL;50;Tirana
Përparim;AL;43;Elbasan County
Perondi;AL;40;Berat County
Peqin;AL;43;Elbasan County
Patos Fshat;AL;44;Fier County
Patos;AL;44;Fier County
Paskuqan;AL;50;Tirana
Papër;AL;43;Elbasan County
Pajovë;AL;43;Elbasan County
Otllak;AL;40;Berat County
Orikum;AL;51;Vlorë County
Novoselë;AL;51;Vlorë County
Nikël;AL;42;Durrës County
Nicaj-Shosh;AL;49;Shkodër County
Ngraçan;AL;44;Fier County
Ndroq;AL;50;Tirana
Moravë;AL;40;Berat County
Milot;AL;48;Lezhë County
Memaliaj;AL;45;Gjirokastër County
Mbrostar-Urë;AL;44;Fier County
Manzë;AL;42;Durrës County
Mamurras;AL;48;Lezhë County
Maminas;AL;42;Durrës County
Magjatë;AL;40;Berat County
Luzi i Vogël;AL;50;Tirana
Lushnjë;AL;44;Fier County
Luftinjë;AL;45;Gjirokastër County
Libofshë;AL;44;Fier County
Lezhë;AL;48;Lezhë County
Levan;AL;44;Fier County
Lekbibaj;AL;47;Kukës County
Lekaj;AL;50;Tirana
Lapardha Një;AL;40;Berat County
Laç;AL;48;Lezhë County
Kutë;AL;44;Fier County
Kutalli;AL;40;Berat County
Kurjan;AL;44;Fier County
Kuman;AL;44;Fier County
Kuçovë;AL;40;Berat County
Kuç;AL;49;Shkodër County
Kryevidh;AL;50;Tirana
Krutja e Poshtme;AL;44;Fier County
Krujë;AL;42;Durrës County
Krrabë;AL;50;Tirana
Krahës;AL;45;Gjirokastër County
Kozarë;AL;40;Berat County
